Business name,Webiste,Address,Number,Email,Note,,Worker,,,,,,,,,,
Jeremy Furniss Tattoo,http://www.jeremyfurnisstattoo.com/,"Fremantle WA, Australia",,bookings@jeremyfurnisstattoo.com,,,Aaron,,,,,,,,,,
Darkside Tattooing & Body Piercing Studio,https://darksidetattooing.wixsite.com/darksidetattooing,"Rockingham WA, Australia",61 8 9527 3999,darksidetattooing@bigpond.com,,,Aaron,,,,,,,,,,
Permanent Makeup Studio,https://permanentmakeupstudio.com.au/,212/580 HAY ST Perth WA 6000,,h2ostudioperth@outlook.com,,,Aaron,,,,,,,,,,
Reverie Body Adornment,https://www.instagram.com/reveriebodyadornment/,"8 eureka road, Perth, Western Australia 6107",61 448 637 421,,Email N/F,,,,,,,,,,,,
Monumental Tattoo Studio,https://www.monumentaltattoo.com.au/,"Clarkson WA, Australia",61 483 341 920,info@monumentaltattoo.com.au,,,Aaron,,,,,,,,,,
Daddy's Tattoos,http://daddystattoos.com.au/,"8 Eureka Road, Wilson Western Australia 6107, Australia",,hello@daddystattoos.com.au,,,Aaron,,,,,,,,,,
Tattoo Voodoo,,,61 476 188 169,,Website N/A,,,,,,,,,,,,
Debra Miller Cosmetic Tattooing,https://www.debramiller.com.au/,9A Warren Avenue Bayswater WA 6053,61 412 371 395,admin@debramiller.com.au,,,Aaron,,,,,,,,,,
Studio Katarina,https://www.katarinacallegari.com.au/,"300 Rokeby Road - Subiaco Perth, WA, Australia 6008",61 423 208 106,info@katarinacallegari.com.au,,,Aaron,,,,,,,,,,
Tat-2-Shed,https://www.facebook.com/tat2shed,"Shop 5 7095 Great Eastern highway, Mundaring, Western Australia, Australia 6073",61 8 9295 6220,tat2shed1@hotmail.com,,,Aaron,,,,,,,,,,
Ink Chronicles Collective,https://www.facebook.com/InkChroniclesCollective/,"8/10 Atwick Terrace, Baldivis, Western Australia 6171",,,Email N/F,,,,,,,,,,,,
Adorned Empire,http://www.obsidianinkofficial.com.au/,"2/37 The Broadway, Ellenbrook WA 6069",61 8 6296 4516,reception@obsidianink.com.au,,,Aaron,,,,,,,,,,
Obsidian Ink,https://www.obsidianinkofficial.com.au//,,,,Duplicate,,,,,,,,,,,,
Hood Royals Tattoo Studio,https://www.instagram.com/hoodroyalstattoo/?hl=en,"2163 albany hwy gosnells, Perth, Western Australia",,hoodroyalstattoo@gmail.com,,,Aaron,,,,,,,,,,
Good Times Tattoo,https://www.facebook.com/goodtimestattooau/,"111 Medina Ave Medina, WA, Australia 6167",61 421 758 696,goodtimestattoo@gmail.com,,,Aaron,,,,,,,,,,
Maeve Ink,https://www.instagram.com/maeve_ink,"Cannington, Perth, Western Australia 6107",,,Email N/F,,,,,,,,,,,,
Foothills Electric Tattoo,http://www.foothillselectrictattoo.com/,"Byford WA, Australia",61 8 9526 2669,,Not Tattoo Shop,,,,,,,,,,,,
Inked Pretty Cosmetic Tattoo,,"Landsdale WA, Australia",61 413 408 561,,Website N/A,,,,,,,,,,,,
Harringtons Tattoo Boutique,https://www.instagram.com/tattoosbyned/?hl=en,"2163 Albany Hwy, Gosnells WA 6110, Australia",61 460 965 947,tattoosbyned@gmail.com,,,Aaron,,,,,,,,,,
HabiTatt,,"Gosnells WA, Australia",61 451 781 001,,Website N/A,,,,,,,,,,,,
The Tattoo Warehouse - Tattoo Supplies,http://www.thetattoowarehouse.com.au/,"Perth, WA, Australia",61 421 152 425,sales@thetattoowarehouse.com.au,,,Aaron,,,,,,,,,,
Northern Lines Tattoo Studio,https://www.facebook.com/northernlinestattoostudio/,"Unit 26/6 Jindalee Boulevard, Jindalee Perth, WA, Australia 6036",61 8 9518 5821,northernlinestattoo@gmail.com,,,Aaron,,,,,,,,,,
The Local Tattoo Studio,https://www.facebook.com/p/The-Local-Tattoo-studio-100063740613189/,"Lot 27 southwest highway Keysbrook, WA, Australia 6126",61 417 945 533,localtattoostudio@bigpond.com,,,Aaron,,,,,,,,,,
SMP WA - Scalp Micropigmentation,http://www.smpwa.com.au/,"279 Lord St Highgate, WA 6003 Australia",61 440 133 785,info@smpwa.com.au,,,Aaron,,,,,,,,,,
Nova You Cosmetic Tattooing,https://nova-you.com.au/,"Clarkson WA, Australia",61 450 482 244,nova.you.beauty@gmail.com,,,Aaron,,,,,,,,,,
A Touch of Brow,http://atouchofbrow.com.au/,"3/183 Scarborough Beach Road, Mount Hawthorn WA, Australia",61 452 629 655,atouchofbrow@outlook.com,,,Aaron,,,,,,,,,,
Brow Down Browz,https://linktr.ee/browdownbrowz,"35A/285 Vincent Street Leederville, Perth, WA, Australia, Western Australia",61 421 865 055,info@browdownbrowz.com,,,Aaron,,,,,,,,,,
Ink and Soul,https://ink-and-soul.square.site//,"16/61 key largo drive Clarkson, Western Australia 6030",,inkandsoul2024@gmail.com,,,Aaron,,,,,,,,,,
Legacy Studios,http://www.facebook.com/legacystudios6000/,"448 Murray St, Perth CBD Perth, WA, Australia 6000",61 466 404 609,legacystudios6000@gmail.com,,,Aaron,,,,,,,,,,
The Skin Studio,http://theskinstudios.com.au/,36/82-86 Royal St East Perth 6004,61 8 9225 4878,hello@theskinstudios.com.au,,,Aaron,,,,,,,,,,
Ink Be Gone Laser Tattoo Removal,https://www.inkbegoneperth.com/,"7/166 Brightion Rd, Scarborough WA",61 491 258 691,bookings@ibrowsbykelly.com,,,Aaron,,,,,,,,,,
Cara Tigerlily Tattoo,http://caratigerlilytattoo.com/,Perth Australia,,caratigerlilytattoo@gmail.com,,,Aaron,,,,,,,,,,
Glamour Piercing & Jewellery,https://m.facebook.com/glamourpiercing/,"Fremantle WA, Australia",61 8 9433 1110,,Not Tattoo Shop,,,,,,,,,,,,
The Piercing Places,https://www.thepiercingplaces.com.au/,"Fremantle WA, Australia",61 8 9430 9944,info@thepiercingplaces.com.au,,,Aaron,,,,,,,,,,
tattoo guru australia,https://www.facebook.com/profile.php?id=100067039653519,"unit 1/25 gillam drive kelmsctt, Perth, WA, Australia, Western Australia",61 476 188 169,,Email N/F,,,,,,,,,,,,
THE INK BARBER,https://www.theinkbarber.com.au/contact,"24 Railway st Cottesloe, Perth WA 6011",61 448 839 012,hello@theinkbarber.com.au,,,Aaron,,,,,,,,,,
Upbeat Ink,,,61 422 383 577,,Website N/A,,,,,,,,,,,,
Paulo Tattoo,https://instagram.com/tattoo.paulo?igshid=MTdoOGdxeXdpamx1Mg==,"4/145 Newcastle St, Perth WA 6000, Australia",61 409 608 139,tattoo.paulo@gmail.com,,,Aaron,,,,,,,,,,
3 kings ink,https://www.instagram.com/3kingsinkstudio/,"291 Ocean Keys Blvd, Clarkson WA 6030, Australia",61 (08) 6270 5522,3kingsinkstudio@gmail.com,,,Aaron,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Canberra Ink,http://www.canberraink.com.au/,"2/68 Emu Bank, Belconnen ACT 2617, Australia",61 455 899 766,canberraink@gmail.com,,,Aaron,,,,,,,,,,
Tattoo Xtreme Acai Bowls And Body Piercing,https://www.facebook.com/tattooxtremecanberra//,"145 Newcastle St, Fyshwick ACT 2609, Australia",61 2 6280 4950,tattooxtremecanberra@gmail.com,,,Aaron,,,,,,,,,,
Ethereal tattoo studio,https://instagram.com/tattoo.ethereal?igshid=OGQ5ZDc2ODk2ZA==,"Ground Floor/1 Elouera St, Braddon ACT 2612, Australia",,tattoo.ethereal@gmail.com,,,Aaron,,,,,,,,,,
Freestyle Tattoo Studio,https://www.facebook.com/FreestyleTattooStudio,"The Sydney Building, 32 Northbourne Ave, Canberra ACT 2601, Australia",61 411 133 803,freestyletattoo@gmail.com,,,Aaron,,,,,,,,,,
Sisters Inked,https://www.facebook.com/sisters.inked,"37 Northbourne Ave Canberra City, ACT, Australia",61 408 975 777,sisters.inked.tattoo@gmail.com,,,Aaron,,,,,,,,,,
Sweetheart Tattoo Studio,https://www.instagram.com/sweethearttattoostudio/?hl=en,"31 Canberra Ave, Forrest ACT 2603, Australia",61 468 467 603,sweethearttattoostudio@gmail.com,,,Aaron,,,,,,,,,,
Outkast Tattoo Co.,https://www.facebook.com/tattoosbyoutkast/?ref=bookmarks,"Palko, 27 Lonsdale Street Braddon, ACT, Australia 2612",61 477 048 048,tattoosbyoutkast@gmail.com,,,Aaron,,,,,,,,,,
Rachel Josephine Tattoo,https://www.racheljosephinetattoo.com.au/,"Fyshwick ACT, Australia",,racheljtattoo@gmail.com,,,Aaron,,,,,,,,,,
Two 9 Tattoo,http://two9tattoo.com/,427/1 Anthony Rolfe Gungahlin ACT 2912,61 421 973 019,bookings@two9tattoo.com,,,Aaron,,,,,,,,,,
Tattoo Power - Mitchell,https://www.tattoopower.com.au/,"Shop 6 / 35 Brookes Street Mitchell ACT 2911, Australia",61 478 790 141,tattoopowermitchell@gmail.com,,,Aaron,,,,,,,,,,
Asgards Tattoo Studio,http://www.asgards.com.au/,"2B/3 Jamison Centre, Macquarie, Australian Capital Territory 2614, Australia",61 2 6253 3495,asgardsbodypiercing@outlook.com,,,Aaron,,,,,,,,,,
Studio Wake Tattoo,https://www.facebook.com/studiowaketattoo/,"Unit 233/140 Anketell St, Greenway ACT 2900, Australia",61 2 6297 7747,studiowake@outlook.com,,,Aaron,,,,,,,,,,
Deep Image Tattooing,https://deepimagetattooing.com.au/,"47 Monaro St, Queanbeyan NSW, Australia",61 432 516 447,deepimagetattooing@outlook.com,,,Aaron,,,,,,,,,,
Armani Artspace,,"8 Arunta St, Narrabundah ACT 2604, Australia",61 407 489 994,,Website N/A,,,,,,,,,,,,
Dragon Gate Tattoo Studio,https://dragongatetattoo.com.au/,"Phillip ACT, Australia",,dragongatecontact@gmail.com,,,Aaron,,,,,,,,,,
PD Artistry,https://pdartistry.net.au/,"Shop R3, 2 David Street, Turnner, ACT 2612",61 411 247 010,info@pdartistry.net.au,,,Aaron,,,,,,,,,,
The Nook,https://www.thenooktattoocanberra.com.au/,"Fyshwick ACT, Australia",,thenookcanberra@gmail.com,,,Aaron,,,,,,,,,,
Kikifoxbones,https://www.instagram.com/kikifoxbones/?hl=en,"37 Northbourne Ave, Canberra ACT 2601, Australia",,kikifoxbones@gmail.com,,,Aaron,,,,,,,,,,
Expired Laser Studio,http://expiredlaserstudio.com/,"Canberra ACT, Australia", +61 02 6195 0873,info@expiredlaserstudio.com,,,Aaron,,,,,,,,,,
Red Pout Cosmetic Tattoo Studio,,"Belconnen ACT, Australia",61 2 6251 9999,,Website N/A,,,,,,,,,,,,
Canberra Body Piercing,http://www.canberrabodypiercing.com/,"Bruce ACT, Australia",61 2 6201 2449,,Website Error,,,,,,,,,,,,
The Henna Studio Canberra,http://thehennastudio.carrd.co/,"Kaleen ACT, Australia",61 491 891 963,thehennastudio.canberra@gmail.com,,,Aaron,,,,,,,,,,
Invisible Ink Studio Canberra,https://www.invisibleinkstudio.co/,"73A Burwood Road, Enfield, Sydney 2136 - Australia",61 433 418 949,hello@invisibleinkstudio.co,,,Aaron,,,,,,,,,,
Micro Pigmentation Aesthetics Studio,https://www.facebook.com/mpastudiocanberra/,"8 Arunta Street Narrabundah Canberra, ACT, Australia 2600",61 407 489 994,mpaestheticstudio@gmail.com,,,Aaron,,,,,,,,,,
BOSS Cosmetic Tattooing & Beauty,https://www.vagaro.com/bosscosmetictattooing,"Braddon ACT, Australia",61 403 596 446,,Website Error,,,,,,,,,,,,
Lessa Feldmann Tattoo,https://www.instagram.com/lessafeldmann_tattoo/,"32 Northbourne Avenue, The Sydney Building Canberra City, ACT, Australia 2601",,lessafeldmanntattoo@gmail.com,,,Aaron,,,,,,,,,,
Alliance Tattoo,https://www.facebook.com/alliancetattoostudio/?locale=es_LA,"Braddon ACT, Australia",61 401 500 026,juan.tattoos12@gmail.com,,,Aaron,,,,,,,,,,
Grinz Tattoo,https://www.grinztattoo.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=1580840851669111519,"Kingston ACT, Australia",61 474 275 353,mattread.tattoo@gmail.com,,,Aaron,,,,,,,,,,
Think Cosmetic Tattoo and Beauty,,"Belconnen ACT, Australia",61 2 6162 2790,,Email N/F,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Day One Atelier,https://www.dayoneatelier.com.au/,"Level 2/60 Halifax Street Adelaide, SA 5000",,dayoneatelier@gmail.com,,,Aaron,,,,,,,,,,
Art n Soul Tatto Studio,https://artnsoul.net.au/,"230, prospect road Prospect SA, Australia",61 8 8269 6383,tattoos@artnsoul.net.au,,,Aaron,,,,,,,,,,
Little Harajuku Tattoo Studio,http://www.littleharajukutattoo.com/,"34 Twin Street Adelaide, SA, Australia 5000",,little.harajuku@outlook.com,,,Aaron,,,,,,,,,,
Black Diamond Tattoo,http://www.blackdiamondtattoo.com.au/,"232 St Vincent Street, Port Adelaide, 5015",61 478 119 318,info@blackdiamondtattoo.com.au,,,Aaron,,,,,,,,,,
Unseen Studio,http://www.unseenstudio.au/,"Adelaide SA, Australia",61 421 156 196,ciao@unseenstudio.au,,,Aaron,,,,,,,,,,
Infinite Worlds Tattoo and Design,http://www.infiniteworldstattoo.com/,"205 Grenfell Street, Adelaide, SA, 5000, Australia",61 8 7127 1665,infiniteworldstattoo@gmail.com,,,Aaron,,,,,,,,,,
Fallen Muse,https://three3s.com.au/creators/fallen-muse,"819 South Road, Clarence Gardens SA 5039 Australia",61 0413 882 030,sales@three3s.com.au,,,Aaron,,,,,,,,,,
XJ Tattoo,http://xjtattoostudio.com.au/,"270 Wright Street, Adelaide South Australia 5000, Australia",61 455 077 622,xjtattooadelaide@gmail.com,,,Aaron,,,,,,,,,,
The paper moon tattoo collective,http://www.papermooncollective.com.au/,"level 4/ 19 North terrace, Hackney SA",,papermoontattoo@gmail.com,,,Aaron,,,,,,,,,,
All Saints Tattoo Studio,http://www.allsaintstattoo.com.au/,"Allenby Gardens SA, Australia",61 416 500 474,allsaintstattoostudio@gmail.com,,,Aaron,,,,,,,,,,
Meiji Tattoo,http://www.meijitattoo.com/,"106 Flinders Street Adelaide, SA, Australia 5000",61 421 270 865,meijitattoo@gmail.com,,,Aaron,,,,,,,,,,
Ink Haus Creative Studios,http://www.inkhaus.com.au/,"5/19 North Terrace Hackney, SA, Australia 5069",,admin@inkhaus.com.au,,,Aaron,,,,,,,,,,
Jetty Road Tattoo Studio,https://www.instagram.com/jettyroadtattoo/?hl=en,"27 Jetty Rd, Glenelg SA 5045, Australia",61 488 726 575,jettyroadtattoo@hotmail.com,,,Aaron,,,,,,,,,,
InkInSkin TattooStudio,http://www.inkinskintattoo.com/,"Edwardstown SA, Australia",61 450 692 337,info@inkinskintattoo.com,,,Aaron,,,,,,,,,,
Tattoo Asylum,,"Seacliff Park SA, Australia",61 8 8377 2000,,Website N/A,,,,,,,,,,,,
Lucky Frog Tattoo,https://luckyfrogtattoo.com.au/,"315 Morphett St, Adelaide SA 5000",61 413 586 299,luckyfrogtattoostudio@gmail.com,,,Aaron,,,,,,,,,,
Onezero,https://www.facebook.com/onezero.ink/,"259-269 Unley Rd, Malvern SA 5061, Australia",61 480 343 087,onezero.ink@yahoo.com,,,Aaron,,,,,,,,,,
The Tattoo Gallery,http://tattoogallery.com.au/,"College Park SA, Australia",61 8 8362 7299,thetattoogalleryadelaide@gmail.com,,,Aaron,,,,,,,,,,
Progression Tattoo,http://www.progressiontattoo.com.au/,"274 Unley Road, Hyde Park. South Australia, 5061",61 400 599 162,info@progressiontattoo.com,,,Aaron,,,,,,,,,,
AliceInkWonderland Tattoo [book on Instagram],https://www.instagram.com/aliceinkwonderland_/,"Adelaide SA, Australia",,aliceinkwonderlandtattoo@gmail.com,,,Aaron,,,,,,,,,,
Masterminds Tattoo Studios,https://mastermindstattoo.com.au/,"Christie Downs SA, Australia",61 493 858 617,stevereedbookings@gmail.com,,,Aaron,,,,,,,,,,
Beyond Tattoo,https://www.instagram.com/beyond.tattoo.au/?hl=en,"Glenelg SA, Australia",,,Email N/F,,,,,,,,,,,,
XO Temple,http://xotemple.com/,"Kent Town SA, Australia",61 423 732 207,ciao@xolavant.com,,,Aaron,,,,,,,,,,
Ink This Tattoo Studio,http://www.facebook.com/inkthistattoostudio,"855 Lower North East Road Dernancourt Dernancourt, SA, Australia 5075",61 8 8165 1619,inkthistattoostudio@gmail.com,,,Aaron,,,,,,,,,,
Marco's Fine Art Tattoo Studio,https://www.facebook.com/MarcosFineArtTattooStudio/,"125A Main North Road Adelaide, SA, Australia 5083",61 8 8344 8815,marcosfineartstattoostudio@yahoo.com.au,,,Aaron,,,,,,,,,,
Halfpace Studio,http://instagram.com/halfpacestudio,Australia,,halfpacestudio@gmail.com,,,Aaron,,,,,,,,,,
Bladez Tattoo Studio,https://www.bladeztattoostudio.com.au/,"207a Glynburn road Firle Adelaide, SA, Australia 5070",61 400 770 119,enquire@bladeztattoostudio.com.au,,,Aaron,,,,,,,,,,
Cult Collective Tattoo Studio,http://www.cultcollective.au/,"395 Churchill Rd, Kilburn 5084 Kaurna Yerta",61 439 909 246,bookings@cultcollective.au,,,Aaron,,,,,,,,,,
Adelaide’s Ink Wizards Tattoo Studio,http://adelaideinkwizards.com/,"Tea Tree Gully SA, Australia",61 8 8395 9429,inkwizardsbookings@gmail.com,,,Aaron,,,,,,,,,,
Wolf & Wren Tattoo Collective,https://www.facebook.com/wolfandwrentattoo/,"St Peters SA, Australia",61 8 8363 7747,wolfandwren@gmail.com,,,Aaron,,,,,,,,,,
The Gilded Goblin Tattoo,https://thegildedgoblintattoo.com/,"Adelaide SA, Australia",,thegildedgoblintattoo@gmail.com,,,Aaron,,,,,,,,,,
Eazy Ink,https://www.facebook.com/xpression.bodyart/,"Woodville South SA, Australia",61 8 8244 6648,xpressionadelaide@gmail.com,,,Aaron,,,,,,,,,,
Inlayerink,http://instagram.com/inlayerink,"Adelaide SA, Australia",,inlayerink@gmail.com,,,Aaron,,,,,,,,,,
1891 Original Tattoo Co.,https://1891tattoo.com/,"666 Goodwood Rd, Daw Park SA 5041",61 421 529 215,danielmillar00@gmail.com,,,Aaron,,,,,,,,,,
Krimson Ink,https://www.facebook.com/krimsonink/,"Shop 21/ 237 Martins Rd, Parafield Gardens, Adelaide, SA, Australia 5107",61 8 8281 1944,krimsonink@outlook.com,,,Aaron,,,,,,,,,,
House of Daggers Tattoo,http://www.houseofdaggers.net/,"233 Henley Beach Road Torrensville, 5031",,info@houseofdaggers.net,,,Aaron,,,,,,,,,,
Neon Pineapple Tattoo,https://neonpineappletattoo.au/,"195 Sturt St, Adelaide SA 5000",,neonpineappletattooau@outlook.com,,,Aaron,,,,,,,,,,
The Body Art Shop,https://www.facebook.com/thebodyartshop,"Flinders Park SA, Australia",61 8 8354 4637,,Email N/F,,,,,,,,,,,,
Happy Stabber,http://www.happystabber.com/,"189 Frome Street, Adelaide 5000",61 8 8232 1809,hello@happystabber.com,,,Aaron,,,,,,,,,,
SCRIPTED SOULS TATTOO,https://m.facebook.com/Scriptedsoulstattoo/,"Shop 3 112-114 Bains Road, Morphett Vale Adelaide, SA, Australia 5162",61 8 7444 5548,scriptedsoulstattoo@gmail.com,,,Aaron,,,,,,,,,,
The Zoom Tattoo (By Appt Only),https://www.instagram.com/thezoomtattoo_official/?hl=en,"Parkside SA, Australia",,,Email N/F,,,,,,,,,,,,
Uncle Winston's Tattoo & Ragrets PicoClear Tattoo Removal,http://www.unclewinstons.com.au/,"Parkside SA, Australia",61 422 745 417,yo@unclewinstons.com.au,,,Aaron,,,,,,,,,,
The Glasshouse Tattoo,http://www.facebook.com/glasshousetattoostudio,"669 Marion Road Ascot Park, SA, Australia 5043",,tattoosbyryan@hotmail.com,,,Aaron,,,,,,,,,,
Dark Art Tattoo Studio,https://instagram.com/dark_art_tattoo_?igshid=YmMyMTA2M2Y=,"Smithfield SA, Australia",61 8 8284 0830,,Email N/F,,,,,,,,,,,,
Gray Tattoo,http://www.gray.tattoo/,"Shop 6, 206 St Vincent Street, Port Adelaide",,darcie@gray.tattoo,,,Aaron,,,,,,,,,,
Vamp Body Art,http://www.vampbodyart.com/,"Po Box 620, Stepney, Sa 5069, Australia",61 04 3773 2335,vampbodyart@gmail.com,,,Aaron,,,,,,,,,,
Inkdulgence Tattoo,https://www.inkdulgence.com.au/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=5068763945636552238,"1 Portrush Road, Marden, SA, 5070",,info@inkdulgence.com.au,,,Aaron,,,,,,,,,,
Love Lost Studio,http://loveloststudio.com/,"1/5 Canberra Drive, Aberfoyle Park SA 5159",61 423 553 550,loveloststudio@gmail.com,,,Aaron,,,,,,,,,,
IN GOOD HANDS TATTOO STUDIO,,"Hindmarsh SA, Australia",,,Website N/A,,,,,,,,,,,,
Venom Art,https://www.facebook.com/VenomArt/,"Prospect SA, Australia",61 8 8344 2230,artists@venomart.com,,,Aaron,,,,,,,,,,
Vintage Scarecrow,https://www.facebook.com/vintagescarecrow/,"890 Port Road, Woodville south Adelaide, SA, Australia 5011",61 8 8311 5139,vintagescarecrow@outlook.com,,,Aaron,,,,,,,,,,
Sure Thing Tattoo,https://surethingtattoo.bigcartel.com//,"4 Frederick St, Richmond, Adelaide, South Australia 5033",,surethingtattoo@gmail.com,,,Aaron,,,,,,,,,,
Birds of Prey Tattoo,https://www.birdsofpreytattoo.au/,"118 Port Rd, Hindmarsh Adelaide, SA 5007",,contact@birdsofpreytattoo.au,,,Aaron,,,,,,,,,,
elle.inbloom,https://www.elleinbloom.me/,"105 Grange Rd Allenby Gardens SA 5009, Australia",,elle@elleinbloom.me,,,Aaron,,,,,,,,,,
Seven Mirrors Tattoo,https://www.facebook.com/BeyondTattooau/,"Glenelg South SA, Australia",,assistant@beyondtattoo.com.au,,,Aaron,,,,,,,,,,
Raydems,https://www.raydemstattoos.com/,"Adelaide SA, Australia",,raydemstattoos@hotmail.com,,,Aaron,,,,,,,,,,
White Raven Tattoo Collective,https://www.facebook.com/White-Raven-Tattoo-Collective-333421807342753/,"Seaton SA, Australia",,whiteraventattoocollective@gmail.com,,,Aaron,,,,,,,,,,
Lampin Ink,http://facebook.com/lampinink/,"Given out when appointment made Adelaide, SA, Australia 5041",61 450 200 042,lampinart@gmail.com,,,Aaron,,,,,,,,,,
The Grand Talon Tattoo Parlour,https://thegrandtalontattoo.com.au/,"4 John Ln Salisbury SA 5108, Australia",61 8 8281 3330,thegrandtalon@outlook.com,,,Aaron,,,,,,,,,,
Pearl Dragon Tattoo Studio,,"Mansfield Park SA, Australia",,,Website N/A,,,,,,,,,,,,
Ink Ammunition,http://www.inkammunition.com.au/,"41-47 O'Sullivan Beach Rd, Lonsdale South Australia 5160 Australia",61 422 703 888,sales@inkammunition.com.au,,,Aaron,,,,,,,,,,
Xanchies,http://www.facebook.com/XanchiesTattoo,"Morphett Vale SA, Australia",61 8 8186 1196,xanchiestattoo@gmail.com,,,Aaron,,,,,,,,,,
Rose Cross Tattoos,https://www.facebook.com/rosecrosstattoos/,"Pooraka SA, Australia",61 8 8271 4975,info@rosecrosstattoos.com.au,,,Aaron,,,,,,,,,,
Body Culture Piercing @ Salon Superstore Harbourtown Adelaide,https://bodyculturepiercing.com.au/,"727 Tapleys Hill Road, West Beach SA 5024",61 8 8353 7650,info@salonsuperstore.com.au,,,Aaron,,,,,,,,,,
Animalistic Body Art,https://www.facebook.com/AnimalisticBodyArt/,"621 Marion Road, South Plympton 5038 SA, Australia",61 8 8276 8628,animalisticbodyart@gmail.com,,,Aaron,,,,,,,,,,
Gettinkked Tattoo Studio,https://www.facebook.com/gettinkkedtattoostudio/,"Davoren Park SA, Australia",61 411 669 666,gettinkked@gmail.com,,,Aaron,,,,,,,,,,
Black Valentine,https://www.facebook.com/profile.php?id=100063697746340,"59 beach rd Christies Beach, SA, Australia 5165",61 8 7481 8774,blackvalentinetattoo@gmail.com,,,Aaron,,,,,,,,,,
Cool Hand Tattoos,https://www.facebook.com/coolhandtattoo/,Australia,61 401 166 046,coolhandimagery@gmail.com,,,Aaron,,,,,,,,,,
OH MY BROW - Cosmetic Tattoo Adelaide,http://www.ohmybrow.com.au/,"46 Hawker Street Brompton, SA, Australia",61 8 8370 4536,academy@ohmybrow.com.au,,,Aaron,,,,,,,,,,
Southern Skin Illustrations,,"Christies Beach SA, Australia",61 8 8384 3044,,Website N/A,,,,,,,,,,,,
InkedIn Beauty,https://www.inkedinbeauty.com.au/,"61D Jetty Road, Glenelg SA 5045",61 423 486 466,hello@inkedinbeauty.com.au,,,Aaron,,,,,,,,,,
Roxy's Tattoo,https://www.facebook.com/roxystattoo/,"grand junction road Hope Valley Adelaide, SA, Australia 5090",,roxys_tattoo@outlook.com,,,Aaron,,,,,,,,,,
heartbreakers tattoo,https://www.instagram.com/heartbreakerstattooclub/?hl=en,"4/100 King William Road, Goodwood, Adelaide, South Australia 5061",,heartbreakerstattooclub@gmail.com,,,Aaron,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Protat,http://www.protatsupplies.com.au/,"Dudley Park SA, Australia",61 1300 364 223,,,,,,,,,,,,,,
Celebrity Ink Belconnen / Canberra,https://celebrityink.com/locations/belconnen/?utm_source=search_google&utm_medium=profile_company_google&utm_campaign=button_page,"Belconnen ACT, Australia",61 449 901 323,,Duplicate,,,,,,,,,,,,
Bladez The Barber Lounge - Norwood,http://www.bladezthebarberlounge.com.au/,"Norwood SA, Australia",61 8 8333 1979,,,,,,,,,,,,,,
Feather Touch Perfection,,"Hillcrest SA, Australia",61 407 900 562,,,,,,,,,,,,,,
Benjam Ink,https://www.facebook.com/BenjamINK666/,,61 424 159 882,,,,,,,,,,,,,,
Loco Tattoo,https://locotattoo.com.au/,"SHOP 10/38 THOMAS DRIVE, CHEVRON ISLAND SURFERS PARADISE",61 7 5632 5948,locotattoogc@gmail.com,,,Ammar,,,,,,,,,,
Black Market Tattoo Co | Robina Gold Coast Tattoo Studio,http://www.blackmarkettattooco.com.au/,"1/76 Robina Town Centre Dr, Robina QLD 4226, Australia",61 7 5593 2593,info@blackmarkettattooco.com.au,,,Ammar,,,,,,,,,,
La Femme Tattoo House,https://www.instagram.com/lafemmetattoohouse/,"2241C Gold Coast Hwy, Mermaid Beach QLD 4218, Australia",61 402 445 328,lafemmetattoogoldcoast@gmail.com,,,Ammar,,,,,,,,,,
All Time Tattoo Nobbys Beach,https://alltimetattoo.com.au/,"1/2249 Gold Coast Highway, Mermaid Beach",61 7 5667 9427,info@alltimetattoo.com.au,,,Ammar,,,,,,,,,,
Borderline Tattoos,http://www.borderlinetattoos.com.au/,"1716 Gold, Coast Highway, Burleigh Heads, Gold Coast, QLD",61 7 5576 4538,tim@borderlinetattoos.com.au,,,Ammar,,,,,,,,,,
Haree Tattoo Studio,,"Broadbeach QLD, Australia",,,Website N/A,,,,,,,,,,,,
Serpents Ink,http://www.facebook.com/serpentsink,"Shop 4, Bel Air Retail, 2623 Gold Coast Hwy, Broadbeach, Gold Coast, QLD, Australia, Queensland",61 7 5538 5528,serpentsinkgc@gmail.com,,,Ammar,,,,,,,,,,
Lost Sanctum Tattoo,https://lostsanctumtattoo.com/,"T006 / 56 Scarborough Street, Southport, QLD, Australia, Queensland ",61 7 5661 7405,bookings@lostsanctumtattoo.com.au,,,Ammar,,,,,,,,,,
Ivy Ink,http://www.ivyink.com.au/,"2537-2539 Gold Coast Highway, Mermaid Beach, QLD, Australia, Queensland",,hello@ivyink.com.au,,,Ammar,,,,,,,,,,
Alfred Street Tattoo,https://www.alfredstreettattoo.com/,"9/2375 Gold Coast Highway, Gold Coast, QLD, Australia, Queensland",61 7 5554 6530,info@alfredstreettattoo.com,,,Ammar,,,,,,,,,,
Blood Money Tattoo,http://www.bloodmoneytattoo.com.au/,"77B Scarborough St, Southport QLD 4215, Australia",61 7 5532 2091,info@bloodmoneytattoos.com,,,Ammar,,,,,,,,,,
