Business,HIC #,Expiration,Phone,Address,City,State,Zip,,Worker
Raffensperger construction,PA197895,01/03/2027,610-246-0546,523 Kenilworth rd,Merion Station,PA,19066,,Sharoon
Raffensperger Construction,PA186986,10/21/2025,610-246-0546,523 kenilworth rd,Merion Station,PA,19066,,Sharoon
Surrounded by Stone,PA090120,5/26/2026,484-888-1938,728 Bedford Place,Merion Station,PA,19066,,Sharoon
Thornton Electrical Construction,PA094097,06/12/2026,610-291-0491,348 North Bowman Avenue,Merion Station,PA,19066,,Sharoon
Addis Contracting,PA017208,10/17/2025,610-667-4229,14 Narwyn Lane,Narberth,PA,19072,,Sharoon
AJD CONSTRUCTION,PA042865,7/14/2025,610-574-6136,7 WINDSOR AVE.,Narberth,PA,19072,,Sharoon
Albert Manginelli Contracting,PA165850,7/30/2025,610-742-1497,223 Dudley Avenue,Narberth,PA,19072,,Sharoon
Armina Construction LLC,PA187068,10/25/2025,610-348-9411,1600 Hagysford rd,Penn Valley,PA,19072,,Sharoon
Arzoo LLC,PA186719,10/11/2025,617-863-7812,306 Dudley Ave.,Narberth,PA,19072,,Sharoon
Carney Home Services,PA066554,05/03/2026,610-247-4468,216 N. Narberth Ave apt 2,Narberth,PA,19072,,Sharoon
Chelsvig Electric,PA159878,1/15/2027,484-429-6786,308 Woodbine Avenue,Narberth,PA,19072,,Sharoon
"Cross Creek Construction, Inc.",PA052409,9/28/2025,610-664-3336,514 south woodbine ave,Narberth,PA,19072,,Sharoon
D&D Roofing&Contractors,PA175898,08/10/2026,215-917-1899,842 Montgomery Ave.,Narberth,PA,19072,,Sharoon
David Constantine,PA082320,03/04/2026,610-664-6427,407 N.Narberth Avenue,Narberth,PA,19072,,Sharoon
ed blackman,PA151108,11/05/2026,610-659-7090,203 price ave,Narberth,PA,19072,,Sharoon
express construction,PA121690,3/21/2025,570-951-2275,400 Fairview road,Narberth,PA,19072,,Sharoon
Faruk Muratovic,PA017329,02/06/2027,610-715-8804,321 North Narberth Avenue,Narberth,PA,19072,,Sharoon
"FT Construction, LLC",PA146951,5/22/2025,484-620-9425,450 N Narberth Avenue,Narberth,PA,19072,,Sharoon
HE GENERAL CONSTRUCTION LLC,PA173938,1/28/2027,267-885-3958,933 Montgomery Ave,Narberth,PA,19072,,Sharoon
Hybar Construction LLC,PA134129,1/25/2026,610-420-7111,401 Caranel Circle,Narberth,PA,19072,,Sharoon
JL Custom Contracting LLC,PA195805,9/27/2026,267-850-5976,231 North Narberth Ave,Narberth,PA,19072,,Sharoon
John Love Carpentry,PA075551,11/02/2025,484-678-1817,221 Avon Road,Narberth,PA,19072,,Sharoon
Joseph Fratto,PA186343,9/25/2025,215-834-7337,815 N. Woodbine Avenue,Penn Valley,PA,19072,,Sharoon
Maison Construction Co,PA161906,02/04/2027,832-496-3488,308 Tower Ln,Penn Valley,PA,19072,,Sharoon
"Mark S. Scanlon Plumbing and Heating, Inc.",PA038529,12/03/2025,610-668-9214,224 Sabine Ave.,Narberth,PA,19072,,Sharoon
"Matt Valentine Landscape Designer, Ltd",PA089577,04/08/2026,610-416-5688,137 North Narberth Avenue,Narberth,PA,19072,,Sharoon
Omega Corporation Inc.,PA167053,3/15/2026,610-667-6653,734 Clarendon Road,Penn Valley,PA,19072,,Sharoon
PRG Design Build,PA189286,02/02/2026,215-802-8992,810 Larkspur Lane,Penn Valley,PA,19072,,Sharoon
Refugia Ltd,PA167083,10/25/2025,267-314-7645,714 Montgomery Ave,Narberth,PA,19072,,Sharoon
Richard S. Pandolfi Inc,PA063912,03/05/2026,215-922-2000,606 Conshohocken State Road,Narberth,PA,19072,,Sharoon
Ryan Wade Group,PA119758,10/05/2025,484-278-4636,810 Larkspur Lane,Penn Valley,PA,19072,,Sharoon
"Sacchetta Plumbing, Inc.",PA048542,2/27/2026,610-960-1684,607 Righters Mill Road,Penn Valley,PA,19072,,Sharoon
Thomco plumbing & heating,PA163748,06/05/2025,610-668-7764,220 n essex ave.,Narberth,PA,19072,,Sharoon
"W.G. MCCARTHY CONSTRUCTION COMPANY, INCORPORATED",PA031376,6/28/2026,610-664-4759,221 N Essex Ave,Narberth,PA,19072,,Sharoon
Walter Anderson DBA Bud Anderson Painting,PA087710,01/04/2026,610-667-2486,5 Iona Avenue,Narberth,PA,19072,,Sharoon
"Wm. L. Hornung & Sons, Inc.",PA059462,12/02/2025,610-667-5616,302 Grayling Avenue,Narberth,PA,19072,,Sharoon
Wrona Construction LLC,PA122036,02/12/2026,267-290-3905,214 N Essex Ave #2,Narberth,PA,19072,,Sharoon
"4Acosta, Inc.",PA177621,11/02/2026,703-395-8775,1203 BRUCE RD,Oreland,PA,19075,,Sharoon
Aaron Sheek,PA151860,11/17/2025,267-249-9570,222 Roesch Ave,Oreland,PA,19075,,Sharoon
"Above & Beyond Remodeling, LLC",PA094851,09/12/2026,215-756-7978,1305 Bradford Rd,Oreland,PA,19075,,Sharoon
Ally Services Co.,PA076507,1/26/2026,215-498-7538,1441 Anderson Ave. #B,Oreland,PA,19075,,Sharoon
"Anderson Welding & Sons, LLC",PA011715,10/20/2025,215-886-1726,100 Ehrenpfort Ave,Oreland,PA,19075,,Sharoon
"Andrew J. McNally Chimney Specialist & Masonry Restoration, LLC",PA059151,02/02/2027,215-884-3009,145 Montgomery Ave.,Oreland,PA,19075,,Sharoon
ANTON ELECTRIC INC,PA040804,1/23/2026,215-836-9608,31 LYNN AVENUE,Oreland,PA,19075,,Sharoon
ANTON GENERAL CONTRACTING INC,PA041035,10/29/2026,215-836-9608,31 LYNN AVENUE,Oreland,PA,19075,,Sharoon
"B Safe, LLC",PA010590,1/16/2026,866-270-1788,101 Roesch Avenue,Oreland,PA,19075,,Sharoon
"Barron Enterprises, Inc.",PA088782,03/08/2026,215-233-6100,2010 Surrey Road,Oreland,PA,19075,,Sharoon
"Bennis Chimney Repairs, Inc.",PA039704,9/22/2025,215-836-7936,1219 Malinda Road,Oreland,PA,19075,,Sharoon
"Brandolisio Tile, Inc",PA026960,2/28/2026,215-836-9110,520 Filbert Road,Oreland,PA,19075,,Sharoon
"Brothers Inc. Quality Care Construction, LLC",PA163329,03/09/2027,267-804-5522,1103 Summit Lane,Oreland,PA,19075,,Sharoon
BRYAN WIRSHUP LLC,PA185103,08/07/2025,267-405-1283,907 Church Rd,Oreland,PA,19075,,Sharoon
BTN Decks,PA040622,4/18/2026,215-885-1866,205 Twining Road,Oreland,PA,19075,,Sharoon
"Cantres, Inc.",PA045118,10/07/2026,215-402-0931,2006 paper mill road,Oreland,PA,19075,,Sharoon
Ceiba Landscaping and Tree Service LLC,PA194068,7/18/2026,215-954-8093,318 Pennsylvania Ave,Oreland,PA,19075,,Sharoon
"CHR Home Services, Inc.",PA177275,10/05/2026,267-944-6451,18 Briar Road,Oreland,PA,19075,,Sharoon
Contracting Services N'at LLC,PA197095,11/19/2026,267-257-2782,307 lorraine ave,Oreland,PA,19075,,Sharoon
"Creative Comfort Solutions, Inc.",PA077306,2/23/2027,610-957-5080,222 Roesch Ave,Oreland,PA,19075,,Sharoon
Criniti Plumbing,PA073743,05/10/2026,267-720-6051,123-A LORRAINE AVENUE,Oreland,PA,19075,,Sharoon
David Duncanson,PA058617,1/28/2026,215-416-2966,301 Roesch Avenue,Oreland,PA,19075,,Sharoon
Eagle Hill Builders LLC,PA153301,01/09/2026,215-694-9895,202 Garth Rd,Oreland,PA,19075,,Sharoon
Easy Mowing Service,PA116024,06/08/2025,215-277-5954,213 Twining Rd,Oreland,PA,19075,,Sharoon
Elevated Comfort LLC,PA196719,11/04/2026,484-819-0755,603 Burton Road,Oreland,PA,19075,,Sharoon
"Enrico Roman, Inc.",PA020824,12/06/2025,215-572-7010,1414 Bruce Road,Oreland,PA,19075,,Sharoon
G Zenner Projects LLC,PA168368,10/06/2025,215-206-8302,416 Enfield Rd,Oreland,PA,19075,,Sharoon
Giuliani Builders Inc,PA187206,10/31/2025,215-403-1691,218 A East Pennsylvania Ave,Oreland,PA,19075,,Sharoon
"Go Green Heating & Air Conditioning, Inc",PA058608,12/26/2025,215-305-7999,"222 Roesch Avenue, Unit A-4",Oreland,PA,19075,,Sharoon
Good Ol' Boys Construction,PA164374,4/21/2025,267-904-4897,1256 Pennsylvania Ave,Oreland,PA,19075,,Sharoon
"Hansell Contractors, Inc.",PA022176,08/11/2025,215-277-1540,320 Pennsylvania Ave,Oreland,PA,19075,,Sharoon
Heritage Custom Construction LLC,PA196870,11/11/2026,215-870-9258,518 Filbert Rd,Oreland,PA,19075,,Sharoon
Hydro Works LLC,PA158839,09/04/2026,215-836-5787,129 Montgomery Ave,Oreland,PA,19075,,Sharoon
J.F. Electric Inc.,PA017738,04/11/2026,215-416-5045,18 weldy ave,Oreland,PA,19075,,Sharoon
J.F. Electric Inc.,PA017738,04/11/2026,215-887-0443,18 Weldy Avenue,Oreland,PA,19075,,Sharoon
James C. McGoldrick Plumbing and Heating,PA058272,9/17/2026,215-886-9947,205 Roesch Ave,Oreland,PA,19075,,Sharoon
James Ryan Landscaping and Complete Tree Service LLC,PA159885,06/05/2025,610-517-1002,303 Garden Rd,Oreland,PA,19075,,Sharoon
James Sheridan,PA093474,8/14/2026,215-740-0844,55 lynn ave,Oreland,PA,19075,,Sharoon
"Jamison Home Services, LLC",PA005252,07/01/2025,215-884-7000,1429 Ulmer Avenue,Oreland,PA,19075,,Sharoon
John Boritz Home Remodeling LLC,PA167312,8/29/2025,267-979-7970,101 Integrity Ave,Oreland,PA,19075,,Sharoon
"Keystone Roofing and Siding, LLC",PA184838,7/27/2025,215-403-1691,218 A East Pennsylvania Ave,Oreland,PA,19075,,Sharoon
L. Clark Company Inc,PA126620,2/18/2027,215-416-4828,911 hunters lane,Oreland,PA,19075,,Sharoon
LCW Electric LLC,PA111443,05/01/2025,267-549-7862,522 kingston rd,Oreland,PA,19075,,Sharoon
Liberty General Contractors LLC,PA039909,11/25/2025,215-886-4422,914 Hunters Lane,Oreland,PA,19075,,Sharoon
LIMA FLOOR SOLUTIONS INC,PA196596,10/29/2026,610-740-7181,ORELAND,Oreland,PA,19075,,Sharoon
Looks Like New LLC DBA Painter Bros Philadelphia Suburbs,PA198867,02/12/2027,610-844-8433,532 Kingston Road,Oreland,PA,19075,,Sharoon
MC Squared Contracting LLC,PA154761,03/10/2026,267-303-3509,2010 Bridle Lane,Oreland,PA,19075,,Sharoon
"Michael DeLaurentis for Concrete Work, LLC",PA017856,4/16/2026,215-836-5542,101 Plymouth Avenue,Oreland,PA,19075,,Sharoon
"Michael DeLaurentis for Concrete Work, LLC",PA017856,4/16/2026,215-836-5542,510 Burton Road,Oreland,PA,19075,,Sharoon
Michelbacher Contracting LLC,PA000766,07/01/2025,215-884-4949,Oreland,Oreland,PA,19075,,Sharoon
Mini Backhoe Services LLC,PA147874,05/02/2025,267-994-7790,207 Rech Ave,Oreland,PA,19075,,Sharoon
"Off Site Professional Services, LLC",PA089290,2/28/2026,215-886-8438,320 Valley Road,Oreland,PA,19075,,Sharoon
Patterson Contractors,PA124543,11/23/2025,267-640-1958,505 Drayton Road,Oreland,PA,19075,,Sharoon
pc weatherizing inc,PA109250,12/15/2025,215-836-5872,2015 lodges lane,Oreland,PA,19075,,Sharoon
"Performance Electrical Contractors, LLC",PA040472,03/03/2027,267-241-6969,100 Twining Road,Oreland,PA,19075,,Sharoon
Richard Clark Construction,PA033984,3/18/2026,215-886-1873,203 Ulmer Ave.,Oreland,PA,19075,,Sharoon
Robert Serianni,PA062271,11/09/2025,215-260-8776,400 Willow Road,Oreland,PA,19075,,Sharoon
Russell Roofing Company Inc.,PA005871,07/06/2025,215-887-7800,1200 Pennsylvania Avenue,Oreland,PA,19075,,Sharoon
"S. VECCHIONE, INC.",PA051169,9/14/2025,215-885-5064,111 ORELAND MILL ROAD,Oreland,PA,19075,,Sharoon
Springfield Plumbing LLC,PA109212,06/05/2026,215-272-8262,3 Summit Valley Lane,Oreland,PA,19075,,Sharoon
Stellar Premium Builders llc,PA187373,11/07/2025,215-852-2127,202 plymouth ave,Oreland,PA,19075,,Sharoon
The Greater Philadelphia Plumbing Company,PA140415,5/25/2026,215-287-5317,114 Montgomery Ave.,Oreland,PA,19075,,Sharoon
"Thornton's Carpentry, LLC",PA105655,3/13/2026,215-233-4443,499 Bradford Rd.,Oreland,PA,19075,,Sharoon
"Vail Communications, Inc.",PA169819,1/17/2027,215-885-2952,1511 Walnut Avenue,Oreland,PA,19075,,Sharoon
Yale Krugman Construction LLC,PA018268,02/01/2026,215-233-1209,1516 Lucon Road,Oreland,PA,19075,,Sharoon
Boca Properties of PA LLC,PA029545,2/28/2026,610-687-8215,Conestoga Road,Villanova,PA,19085,,Sharoon
"Colizzo Home Services, LLC",PA150290,08/11/2025,908-797-6228,110 Deep Dene Road,Villanova,PA,19085,,Sharoon
construction & rentals llc,PA096885,10/16/2026,609-381-6500,794 harrison rd,Villanova,PA,19085,,Sharoon
Cost Less Painting Inc.,PA115101,1/24/2027,610-608-8331,1509 Willowbrook Lane,Villanova,PA,19085,,Sharoon
Info Group LLC,PA181368,3/23/2025,610-551-5498,770 Panorama Rd,Villanova,PA,19085,,Sharoon
"Janiczek Builds, LLC",PA100195,7/21/2025,484-580-8104,619 Rear Conestoga Road,Villanova,PA,19085,,Mubashir
Janiczek Homes LLC,PA049209,08/08/2025,484-580-8104,619 Conestoga Road,Villanova,PA,19085,,Mubashir
JZ Landscaping LLC,PA196108,10/09/2026,302-521-1868,706 Armstrong Ave,Wilmington,DE,19085,,Mubashir
"Oruska Construction, Anthony Oruska General Contractor",PA051846,6/15/2026,484-719-0024,Various,Villanova,PA,19085,,Mubashir
"Paolino Development, Inc.",PA067714,4/28/2026,610-687-8215,623 Conestoga Road,Villlanova,PA,19085,,Mubashir
Pelican Rose Construction,PA182551,05/02/2025,610-809-9302,700 Panorama Rd,Villanova,PA,19085,,Mubashir
PuroClean of Newtown Square,PA185444,8/21/2025,929-262-9027,4611 West Chester Pike,Lower LEvel,PA,19085,,Mubashir
"Putnam Construction, Inc.",PA031573,05/11/2025,610-526-9900,2042 Stone Ridge Lane,Villanova,PA,19085,,Mubashir
Ramsey Run BLD LLC,PA159219,4/27/2025,215-850-1827,551 Sproul Rd,Villanova,PA,19085,,Mubashir
Restore Hub LLC,PA196609,10/29/2026,267-403-7086,2058 Matsons Cir,Villanova,PA,19085,,Mubashir
Roofers Near Me Philadelphia LLC,PA188247,12/19/2025,445-205-9374,699 Matsonsford Rd,Villanova,PA,19085,,Mubashir
Ross Construction Co. Inc.,PA061239,12/04/2026,610-529-2258,546 Oriole Lane,Villanova,PA,19085,,Mubashir
"Waverly Custom Homes, LLC",PA033413,12/28/2025,610-525-5420,711 Mt. Moro Road,Villanova,PA,19085,,Mubashir
191 & company LLC,PA132645,07/11/2025,215-970-8620,659 Colonel dewees rd,Wayne,PA,19087,,Sharoon
A21LLC,PA176640,11/19/2026,610-803-7376,147 Drummers Lane,Wayne,PA,19087,,Sharoon
AA ROOTER LLC,PA194833,8/19/2026,301-366-7051,375 W Lancaster Ave,Wayne,PA,19087,,Sharoon
ABR HEATING AND COOLING LLC,PA138935,3/28/2026,610-203-9332,42 TREATY DR,Wayne,PA,19087,,Sharoon
Admiration Brewing Company,PA169267,1/24/2026,609-638-3890,408 General Washington Rd,Wayne,PA,19087,,Sharoon
AEG Plumbing and Tile Services,PA183140,5/22/2025,215-908-1120,172 DRUMMERS Ln,Wayne,PA,19087,,Rehan
ALGINET LLC,PA195337,09/09/2026,856-516-5530,650 Narcisi Ln,Wayne,PA,19087,,Rehan
Alvin Dix Electrical Co.,PA082066,09/12/2026,215-275-2975,539 Woodland Lane,Wayne,PA,19087,,Rehan
"American Design & Service, Ltd.",PA046842,7/28/2025,610-688-8525,26 Highview Drive,Radnor,PA,19087,,Rehan
Amplifive Enterprises Inc.,PA143501,10/30/2026,215-833-8511,1022 Mt. Pleasant Ave.,Wayne,PA,19087,,Rehan
Anthony Loftus Construction,PA038532,07/06/2025,484-431-1692,502 W Beechtree lane,Wayne,PA,19087,,Rehan
AP PAVING & MASONRY LLC,PA186151,9/18/2025,610-203-3175,1058 MT. PLEASANT AVE,WAYNE,PA,19087,,Rehan
Atlantic Pool Service,PA035180,12/17/2026,610-688-4110,237 Conestoga Road,Wayne,PA,19087,,Rehan
Austin Hepburn Installs Windows and Doors,PA016730,10/21/2026,610-688-4335,253 Upper Gulph Road,Radnor,PA,19087,,Rehan
B&B Renovation LLC,PA186969,10/20/2025,323-481-7038,414 Woodcrest Road,Wayne,PA,19087,,Rehan
Berwyn Contracting,PA190652,3/19/2026,484-318-3624,522 Lancaster ave,Malvern,PA,19087,,Rehan
Bluebell Kitchens,PA144265,11/27/2026,267-373-8250,200 W Lancaster Ave,Wayne,PA,19087,,Rehan
Borzell and Norbury Plumbing & Heating,PA065773,6/29/2026,610-688-3366,227 Conestoga Road,Wayne,PA,19087,,Rehan
"BOWERBIRD Building, LLC",PA195413,09/12/2026,484-798-9977,150 Swedesford Road,Wayne,PA,19087,,Rehan
Brian's Home Solutions,PA192270,05/09/2026,484-253-6926,430 Strafford Ave,Wayne,PA,19087,,Rehan
"Brookmead Construction, LLC",PA188521,01/05/2026,610-906-1311,242 Brookmead ORad,Watne,PA,19087,,Rehan
Calobrisi Home Services,PA195655,9/21/2026,484-588-9932,20 Elan Lane,Wayna,PA,19087,,Rehan
Christopher Maturo Roofing,PA056653,12/19/2025,215-760-7629,110 Amity Drive,Chesterbrook,PA,19087,,Rehan
Climate Care HVAC LLC,PA112413,10/29/2026,215-450-4121,680 Forest Rd,Wayne,PA,19087,,Rehan
"Colonial Properties, LLC",PA104558,11/04/2025,610-293-4068,175 Strafford Avenue,Wayne,PA,19087,,Rehan
Comfort Solutions Heating and Air Conditioning INC.,PA063099,10/15/2026,215-200-7788,323 tory turn,wayne,PA,19087,,Rehan
"Condominium Maintenance, Inc.",PA015579,1/13/2027,610-688-8373,136 Walker Road,Wayne,PA,19087,,Rehan
Consalvi's lawn and Landscaping LLC,PA065412,3/26/2026,484-875-9568,250 Conestoga Road,Wayne,PA,19087,,Rehan
Cranberry Builders Inc,PA009317,12/16/2026,610-996-4441,411 Louella Ave,Wayne,PA,19087,,Rehan
CRUZ ESTATES LLC,PA188378,12/29/2025,215-303-2336,150 N. Radnor Chester Rd.Suite F 200,Radnor,PA,19087,,Rehan
Cullen Construction Company Inc.,PA023583,5/20/2026,610-687-4949,329 East Conestoga Road,Wayne,PA,19087,,Rehan
D F Todd Tile & Marble,PA108709,9/14/2025,267-718-4915,812 Washington Place,Chesterbrook,PA,19087,,Rehan
Day Dreamer Ltd,PA181434,3/26/2025,267-595-7136,912 Henry Ave,Wayne,PA,19087,,Rehan
Dayton Lock Company LLC,PA053631,9/14/2025,610-688-9188,324 W. Lancaster Avenue,Wayne,PA,19087,,Rehan
Deep Roots Gardening,PA193933,07/12/2026,215-327-4254,301 Pennsylvania Ave,Wayne,PA,19087,,Rehan
"DLD Services, LLC",PA184298,07/06/2025,610-527-1662,725 W. Lancaster Ave.,Wayne,PA,19087,,Rehan
EarthRise Construction,PA181611,3/31/2027,215-827-5203,201 King of Prussia Rd,Radnor,PA,19087,,Rehan
EarthRise USA Inc,PA145228,1/22/2027,215-827-5203,201 King of Prussia Rd,Radnor,PA,19087,,Rehan
"Eight Chestnut, LLC",PA071278,1/20/2027,610-688-1322,215 St. Davids Court,Wayne,PA,19087,,Rehan
"Epps Plumbing and Heating, Inc.",PA060443,12/31/2025,610-688-5312,132A Plant Avenue,Wayne,PA,19087,,Rehan
Evergreen Landscaping Inc.,PA094486,10/23/2026,610-520-1742,440 Highview Dr,Radnor,PA,19087,,Rehan
"Family Heating and Air Conditioning, Inc.",PA143058,9/27/2026,215-377-9090,150 North Radnor Chester Road,Radnor,PA,19087,,Rehan
"Fiddlers on the Roof, Inc.",PA173398,05/02/2026,609-238-7026,9 Devonwood Road,Wayne,PA,19087,,Rehan
FinchNCo LLC dba Restoration 1 of Chester County,PA161220,12/24/2026,610-761-1313,661 Weadley rd,Radnor,PA,19087,,Rehan
Flex Builders 20,PA169774,12/12/2025,610-818-7799,13 Drummers Ln,Wayne,PA,19087,,Rehan
"Forest Construction & Management, LLC",PA065859,04/01/2026,484-620-9155,208 Bloomingdale Ave,Wayne,PA,19087,,Rehan
Gancarz Painting Inc,PA119986,10/15/2025,484-340-6669,303 W Lancaster Ave #244,Wayne,PA,19087,,Rehan
GC Durante Contractors,PA107783,5/25/2025,610-220-7121,421 E Lancaster Ave,Wayne,PA,19087,,Rehan
"Girl Concrete, Inc.",PA174927,07/01/2026,267-241-1595,151 N Radnor Chester rd,Radnor,PA,19087,,Rehan
"Gus' Window Rescreening, LLC",PA198095,1/13/2027,835-220-6065,1379 Varnum Dr,Wayne,PA,19087,,Rehan
Haldon House,PA188221,12/19/2025,215-821-6223,142 Abrahams Lane,Wayne,PA,19087,,Rehan
Hallowell Construction Company,PA079601,3/25/2026,610-964-9845,123 West Wayne Avenue,Wayne,PA,19087,,Rehan
Hambel Contracting,PA183488,06/06/2025,610-506-7558,414 North Bellevue Ave,Wayne,PA,19087,,Rehan
HandMill Homecare Services,PA191538,4/15/2026,610-937-2736,175 Strafford Ave,Wayne,PA,19087,,Rehan
Handysan.tech,PA172532,06/12/2026,901-319-6413,409 Locust Rd,Wayne,PA,19087,,Rehan
Harkins Builders Inc,PA094984,04/06/2026,610-627-4945,575 E Swedesford Road,Wayne,PA,19087,,Rehan
Hasani Home Improvement LLC,PA194648,08/10/2026,610-500-6820,1311 eagles ridge dr,Chesterbrook,PA,19087,,Rehan
HAYY LLC,PA199498,03/05/2027,610-972-0677,354 w lancaster avenu,wayne,PA,19087,,Rehan
"Henry J. Kulzer, Inc.",PA053904,11/21/2026,267-252-1807,421 Morris Road,Wayne,PA,19087,,Rehan
Heritage Builders & Construction Company,PA188138,12/14/2025,610-247-4181,295 East Swedesford Road,Wayne,PA,19087,,Rehan
Heritage Builders LLC,PA152367,11/13/2025,610-247-9222,295 East Swedesford Road,Wayne,PA,19087,,Rehan
Hernandez Landscaping LLC,PA182017,4/13/2025,484-213-5020,430 King Of Prussia Rd,Wayne,PA,19087,,Rehan
Homex,PA087982,1/29/2026,215-272-1942,475 Woodhill Rd,Wayne,PA,19087,,Rehan
Irishlakes Plumbing and Heating LLC.,PA122953,04/03/2025,610-209-5552,447 Saunders Dr.,Wayne,PA,19087,,Rehan
ITR,PA133930,08/01/2025,484-620-0137,129 Pennsylvania Ave,Wayne,PA,19087,,Rehan
Jake Schreiber,PA171098,2/13/2026,610-220-3571,20 Farm Road,Wayne,PA,19087,,Rehan
JISAN GENERAL CONTRACTOR LLC,PA189998,2/27/2026,610-563-0374,364 DRUMMERS LANE,WAYNE,PA,19087,,Rehan
JTM General Contracting LLC,PA023784,9/25/2026,484-620-2179,1041 Hedgerow Cir.,Wayne,PA,19087,,Rehan
Judah Inc. T/A Holland Floor Covering,PA011110,07/06/2025,610-947-6500,124 E Lancaster Ave.,Wayne,PA,19087,,Rehan
KBSquare LLC,PA128563,12/05/2026,610-457-0560,354 west lancaster avenue,Wayne,PA,19087,,Rehan
Keith Martin Electrical Contractor,PA044917,01/02/2027,610-688-9200,211 Conestoga Road,Wayne,PA,19087,,Rehan
King of AFG LLC,PA188881,1/18/2026,484-574-6435,421 Morris Rd,Wayne,PA,19087,,Rehan
"Lombardi Residential, LLC",PA095512,01/09/2026,732-630-1000,"100 Windermere Ave, G5",Wayne,PA,19087,,Rehan
"Mabe Design Build, LLC dba Archadeck of Delaware County",PA193965,7/15/2026,917-868-6818,672 Glenmary Rd.,Wayne,PA,19087,,Rehan
Main Line Craftsman,PA118721,3/26/2026,610-551-3543,724 Laurel Lane,Wayne,PA,19087,,Rehan
Main Line Electrical Co,PA026653,4/25/2025,610-688-4900,324 W. Lancaster Avenue,Wayne,PA,19087,,Rehan
MANOULA CONSTRUCTION LLC,PA185857,09/06/2025,610-482-2854,288 IVEN AVE APT 2B,ST DAVIDS,PA,19087,,Rehan
MARCIN JUSKO,PA086588,6/24/2025,215-833-3212,12 Devonwood rd,Wayne,PA,19087,,Rehan
Mastrocola Construction/Rentals,PA058822,5/23/2026,610-960-4096,260 CEDAR PLACE,WAYNE,PA,19087,,Rehan
McDermott Design Build,PA120092,01/04/2026,610-633-0776,504 N Wayne Ave,Wayne,PA,19087,,Rehan
"McKenna Site Management, LLC",PA195251,09/05/2026,610-783-3160,175 Strafford Ave,Wayne,PA,19087,,Rehan
"Michael J. Kelly & Son, Inc.",PA123684,06/02/2025,610-688-3466,208 N Wayne Avenue,Wayne,PA,19087,,Rehan
Michalek's Construction,PA083100,9/16/2026,410-456-4465,580 gulph rd,wayne,PA,19087,,Rehan
Michalek's Construction,PA083100,9/16/2026,410-456-4465,580 Gulph Rd,wayne,PA,19087,,Rehan
Milano Dezign LLC,PA170404,1/18/2026,973-980-5335,112 N Wayne Ave,Wayne,PA,19087,,Rehan
Minhchau Nguyen,PA140438,03/10/2025,,376 King of Prussia Road,Wayne,PA,19087,,Rehan
Monahan Design Build,PA189572,2/14/2026,610-687-2201,303 W. Lancaster Ave #335,Wayne,PA,19087,,Rehan
Montiel's construction,PA118422,10/13/2025,610-761-0140,137 Conestoga rd,Wayne,PA,19087,,Rehan
"Movement Improvement, LLC dba Basement Waterproofing Scientists",PA146545,8/16/2026,610-496-2794,201 King of Prussia Rd Suite 650,Radnor,PA,19087,,Rehan
"New Castle Lawn and Landscape, Inc.",PA009267,6/26/2026,610-796-7818,175 Strafford Ave,Wayne,PA,19087,,Rehan
Nimbus Restoration LLC,PA179259,03/03/2027,267-888-4822,145 E. Swedesford Rd #1115,Wayne,PA,19087,,Rehan
oliden keyhomes llc,PA195274,09/06/2026,678-615-6009,145 Swedesford rd,Wayne,PA,19087,,Rehan
Oxford Service Company LLC,PA172722,4/20/2026,484-368-4115,179 Drummers Lane,Wayne,PA,19087,,Rehan
"Patterson Builders, LLC",PA007841,08/09/2025,610-329-5795,241 Lenoir Ave,Wayne,PA,19087,,Rehan
Pealer Plumbing & Heating Co.,PA058270,11/17/2025,484-631-6077,174 Valley Stream Circle,Wayne,PA,19087,,Rehan
Pete Thomas Tree service,PA136672,12/15/2025,610-220-3606,563 Upper Weadley Rd,Wayne,PA,19087,,Rehan
Region Home Services,PA182723,05/07/2025,215-674-5130,201 King of Prussia Rd.,Radnor,PA,19087,,Rehan
Renonation General Contracting LLC,PA198278,1/20/2027,610-955-8671,317 Sentry Lane,Wayne,PA,19087,,Rehan
"Resicor, Inc.",PA054793,6/17/2026,610-687-6555,34 West Ave,Suite F,PA,19087,,Rehan
Robert Phillips,PA132170,12/30/2026,215-380-0361,22 Clover Lane,Wayne,PA,19087,,Rehan
"Rockwall, Inc",PA059476,1/26/2026,610-878-2210,1014 Radnor Road,Wayne,PA,19087,,Rehan
"Rockwell Homes, LLC",PA198133,1/14/2027,484-445-4300,1075 Eagle Road,Wayne,PA,19087,,Rehan
"Roof Docs HoldCo, LLC",PA145926,2/21/2027,781-540-9595,851 Duportail Road,Chesterbrook,PA,19087,,Rehan
"Roots Landscape, Inc.",PA121481,1/17/2026,610-964-0001,485 Devon Park Drive,Wayne,PA,19087,,Rehan
Ryan's Plumbing and Heating LLC,PA153362,05/04/2026,484-633-1022,"500 Falcon Rd,",Wayne,PA,19087,,Rehan
SBM Services LLC,PA056806,12/03/2025,610-368-7843,72 Drummers Lane,Wayne,PA,19087,,Rehan
"Sparti Construction, LLC",PA087824,01/09/2026,610-587-7755,295 E Swedesford Road,Wayne,PA,19087,,Rehan
SS PRO SERVICES LLC,PA189934,2/26/2026,610-802-1002,200 Berwind Rd,Radnor,PA,19087,,Rehan
