Name,"Address (format: ""10 Jackson Rd, Orlando, FL, 84312"")",,Phone number,Website,Google Maps link (clickable link to access Maps page),Worker
PET / CT of Las Colinas,7415 Las Colinas Blvd #110,"7415 Las Colinas Blvd #110, Irving, TX, 75063",(214) 379-2790,,https://www.google.com/maps/place/PET+%2F+CT+of+Las+Colinas/data=!4m7!3m6!1s0x864c2848212b5cd9:0x7af06729b3a31d8f!8m2!3d32.9081121!4d-96.9546974!16s%2Fg%2F1tfbnqz0!19sChIJ2VwrIUgoTIYRjx2jsyln8Ho?authuser=0&hl=en&rclk=1,
Irving-Coppell Women's Image,440 I-635 #120A,"440 I-635 #120A, Irving, TX, 75063",(972) 785-5650,http://baylorhealth.com/,https://www.google.com/maps/place/Irving-Coppell+Women%27s+Image/data=!4m7!3m6!1s0x864c299155555555:0xdb4560b8e67d1540!8m2!3d32.9124748!4d-96.9513444!16s%2Fg%2F11cn0r_1nx!19sChIJVVVVVZEpTIYRQBV95rhgRds?authuser=0&hl=en&rclk=1,
VIP Imaging Solutions Llc,3137 Esters Rd,"3137 Esters Rd, Irving, TX, 75061",(214) 441-9877,,https://www.google.com/maps/place/VIP+Imaging+Solutions+Llc/data=!4m7!3m6!1s0x864e8188717301bb:0x55d62d5270142a6d!8m2!3d32.849502!4d-97.008593!16s%2Fg%2F1263pcxh1!19sChIJuwFzcYiBToYRbSoUcFIt1lU?authuser=0&hl=en&rclk=1,
Dermatologists,,,,,,
Dallas Associated Dermatologists,6750 N MacArthur Blvd #260,"6750 N MacArthur Blvd #260, Irving, TX, 75039",(214) 987-3376,https://dallasassocderm.com/?utm_source=gbp&utm_medium=organic&utm_campaign=website_link,https://www.google.com/maps/place/Dallas+Associated+Dermatologists/data=!4m7!3m6!1s0x864c28316b9459eb:0xf99201f573b00abf!8m2!3d32.9011702!4d-96.9571902!16s%2Fg%2F1wv_smd1!19sChIJ61mUazEoTIYRvwqwc_UBkvk?authuser=0&hl=en&rclk=1,
"Blackburn Woolfolk Dermatology, PLLC",4520 N MacArthur Blvd Suite 100,"4520 N MacArthur Blvd Suite 100, Irving, TX, 75038",(214) 630-5256,https://www.bwderm.com/,"https://www.google.com/maps/place/Blackburn+Woolfolk+Dermatology,+PLLC/data=!4m7!3m6!1s0x864e9c1a12a66735:0xe03842fd41ca3353!8m2!3d32.8676284!4d-96.9588868!16s%2Fg%2F1hc1wk9zw!19sChIJNWemEhqcToYRUzPKQf1COOA?authuser=0&hl=en&rclk=1",
Dr Ellen Turner,4301 N MacArthur Blvd,"4301 N MacArthur Blvd, Irving, TX, 75038",(214) 373-7546,https://www.dermofficedallas.com/,https://www.google.com/maps/place/Dr+Ellen+Turner/data=!4m7!3m6!1s0x864e828bc9ae6f4b:0xcc856338a710c6d2!8m2!3d32.8673176!4d-96.9606108!16s%2Fg%2F11dx9h8qn2!19sChIJS2-uyYuCToYR0sYQpzhjhcw?authuser=0&hl=en&rclk=1,
Advanced Dermasurgery Associates,7445 Las Colinas Blvd,"7445 Las Colinas Blvd, Irving, TX, 75063",(972) 726-6647,https://drposten.com/?utm_source=gbp&utm_medium=organic&utm_campaign=website_link,https://www.google.com/maps/place/Advanced+Dermasurgery+Associates/data=!4m7!3m6!1s0x864c28482ee59fef:0xc2051385150a72e6!8m2!3d32.9085599!4d-96.9553387!16s%2Fg%2F11f4zkb6zn!19sChIJ75_lLkgoTIYR5nIKFYUTBcI?authuser=0&hl=en&rclk=1,
Las Colinas Dermatology,440 W Lyndon B Johnson Fwy Suite 365,"440 W Lyndon B Johnson Fwy Suite 365, Irving, TX, 75063",(972) 432-0300,http://www.dralisonblack.com/,https://www.google.com/maps/place/Las+Colinas+Dermatology/data=!4m7!3m6!1s0x864c2848a6c2ddaf:0xf08c87c73a7730e4!8m2!3d32.911635!4d-96.9520072!16s%2Fg%2F1tfctmh0!19sChIJr93CpkgoTIYR5DB3OseHjPA?authuser=0&hl=en&rclk=1,
Dr. Carolyn Kim MD - Pure Dermatology Center,2005 W Park Dr Ste 120,"2005 W Park Dr Suite 120, Irving, TX, 75061",(972) 827-1130,https://www.puredermatologycenter.com/,https://www.google.com/maps/place/Dr.+Carolyn+Kim+MD+-+Pure+Dermatology+Center/data=!4m7!3m6!1s0x864e8300cc3f5089:0x2b56874ff650567d!8m2!3d32.8352317!4d-96.9632034!16s%2Fg%2F11cp09ffj4!19sChIJiVA_zACDToYRfVZQ9k-HVis?authuser=0&hl=en&rclk=1,
Dallas Center for Dermatology and Aesthetics,8201 Preston Rd #350,"8201 Preston Rd #350, Dallas, TX, 75225",(214) 631-7546,https://www.dallascosmeticderm.com/?utm_source=google&utm_medium=local&utm_campaign=dallas-practice-website,https://www.google.com/maps/place/Dallas+Center+for+Dermatology+and+Aesthetics/data=!4m7!3m6!1s0x864c3cc489ff765f:0x703b40d0355c3bc3!8m2!3d32.862701!4d-96.8048371!16s%2Fg%2F1tg5vg3j!19sChIJX3b_icQ8TIYRwztcNdBAO3A?authuser=0&hl=en&rclk=1,
Dermatology Treatment and Research Center,5310 Harvest Hill Rd #138,"5310 Harvest Hill Rd #138, Dallas, TX, 75230",(972) 661-2729,https://www.dallasdermcenter.com/,https://www.google.com/maps/place/Dermatology+Treatment+and+Research+Center/data=!4m7!3m6!1s0x864c21ce40d1892d:0x777d7ed0eddeb7b1!8m2!3d32.9211269!4d-96.8171805!16s%2Fg%2F11h2k4wxr6!19sChIJLYnRQM4hTIYRsbfe7dB-fXc?authuser=0&hl=en&rclk=1,
Epiphany Dermatology,413 W Bethel Rd #100,"413 W Bethel Rd #100, Coppell, TX, 75019",(469) 312-7302,https://www.epiphanydermatology.com/location/coppell-tx/,https://www.google.com/maps/place/Epiphany+Dermatology/data=!4m7!3m6!1s0x864c294e5042cfbd:0xf168908250ae5aee!8m2!3d32.9544017!4d-97.0042877!16s%2Fg%2F1tdc10v_!19sChIJvc9CUE4pTIYR7lquUIKQaPE?authuser=0&hl=en&rclk=1,
Prism Dermatology | Las Colinas,6161 State Hwy 161 3rd Floor #304,"6161 State Hwy 161 3rd Floor #304, Irving, TX, 75038",(817) 329-1350,,https://www.google.com/maps/place/Prism+Dermatology+%7C+Las+Colinas/data=!4m7!3m6!1s0x864c290f7d217a6b:0x441b6982f4dbdba2!8m2!3d32.8916803!4d-96.9807309!16s%2Fg%2F11j2cnsfbv!19sChIJa3ohfQ8pTIYRotvb9IJpG0Q?authuser=0&hl=en&rclk=1,
Dermatology Office of Dr. Ellen Turner,4420 W Lovers Ln,"4420 W Lovers Ln, Dallas, TX, 75209",(214) 373-7546,https://www.dermofficedallas.com/?utm_source=Google%20My%20Business,https://www.google.com/maps/place/Dermatology+Office+of+Dr.+Ellen+Turner/data=!4m7!3m6!1s0x864e9e437f6395df:0x7a4cf2bae64c16fc!8m2!3d32.85088!4d-96.834074!16s%2Fg%2F1tfq9mzt!19sChIJ35Vjf0OeToYR_BZM5rryTHo?authuser=0&hl=en&rclk=1,
Star Dermatology,783 N Denton Tap Rd Suite 150,"783 N Denton Tap Rd Suite 150, Coppell, TX, 75019",(469) 289-2660,http://www.starderm.com/,https://www.google.com/maps/place/Star+Dermatology/data=!4m7!3m6!1s0x864c2f1de5408613:0x3d6cc5ad4fe48ded!8m2!3d32.989717!4d-96.9938678!16s%2Fg%2F11vd6tzlrn!19sChIJE4ZA5R0vTIYR7Y3kT63FbD0?authuser=0&hl=en&rclk=1,
"Mindful Dermatology, PLLC",9101 N Central Expy #160,"9101 N Central Expy #160, Dallas, TX, 75231",(214) 265-1818,http://www.mindfuldermdallas.com/,"https://www.google.com/maps/place/Mindful+Dermatology,+PLLC/data=!4m7!3m6!1s0x864e9fbff9be6b1b:0x93025eca1e838e42!8m2!3d32.8724225!4d-96.7711283!16s%2Fg%2F1tdjrkbs!19sChIJG2u--b-fToYRQo6DHspeApM?authuser=0&hl=en&rclk=1",
Raymond Garcia MD,2005 W Park Dr #120,"2005 W Park Dr #120, Irving, TX, 75061",(972) 827-1130,http://www.puredermatologycenter.com/,https://www.google.com/maps/place/Raymond+Garcia+MD/data=!4m7!3m6!1s0x864e830135ca994b:0x5c0b5059aba29404!8m2!3d32.8351954!4d-96.9620881!16s%2Fg%2F1tjfh7mm!19sChIJS5nKNQGDToYRBJSiq1lQC1w?authuser=0&hl=en&rclk=1,
"Christopher W Carr, MD",6750 N MacArthur Blvd #260,"6750 N MacArthur Blvd #260, Irving, TX, 75039",(214) 987-3376,http://dallasassocderm.com/,"https://www.google.com/maps/place/Christopher+W+Carr,+MD/data=!4m7!3m6!1s0x864c28316bcd618f:0x31b614cda8d19d39!8m2!3d32.9009056!4d-96.9574096!16s%2Fg%2F11b6sv1hkg!19sChIJj2HNazEoTIYROZ3RqM0UtjE?authuser=0&hl=en&rclk=1",
Dallas Associated Dermatologists,7300 Eldorado Pkwy Suite 100,"7300 Eldorado Pkwy Suite 100, McKinney, TX, 75070",(214) 987-3376,https://dallasassocderm.com/?utm_source=gbp&utm_medium=organic&utm_campaign=website_link,https://www.google.com/maps/place/Dallas+Associated+Dermatologists/data=!4m7!3m6!1s0x864c165028264e1f:0xb34fc302019a946c!8m2!3d33.1752541!4d-96.7136871!16s%2Fg%2F11fzbk2wrh!19sChIJH04mKFAWTIYRbJSaAQLDT7M?authuser=0&hl=en&rclk=1,
"Dr. Mary E. Fleischli, MD",6750 N MacArthur Blvd,"6750 N MacArthur Blvd, Irving, TX, 75039",(214) 987-3376,,"https://www.google.com/maps/place/Dr.+Mary+E.+Fleischli,+MD/data=!4m7!3m6!1s0x864c28316b9459eb:0xfedb4a87d41e86fe!8m2!3d32.9015513!4d-96.9568643!16s%2Fg%2F1vm7bw14!19sChIJ61mUazEoTIYR_oYe1IdK2_4?authuser=0&hl=en&rclk=1",
"Dr. Robert Terrill, Dermatologist",8600 Gaylord Pkwy Suite 1,"8600 Gaylord Pkwy Suite 1, Frisco, TX, 75034",(214) 730-6662,http://www.sonomaskinworks.com/?utm_source=gmb_auth,"https://www.google.com/maps/place/Dr.+Robert+Terrill,+Dermatologist/data=!4m7!3m6!1s0x864c2268d1edce9b:0x50b04c9a4832fefb!8m2!3d33.1050118!4d-96.8097439!16s%2Fg%2F1tgmwpnf!19sChIJm87t0WgiTIYR-_4ySJpMsFA?authuser=0&hl=en&rclk=1",
Dallas Associated Dermatologists,7000 Preston Rd Suite #500,"7000 Preston Rd Suite #500, Plano, TX, 75024",(214) 987-3376,https://dallasassocderm.com/?utm_source=gbp&utm_medium=organic&utm_campaign=website_link,https://www.google.com/maps/place/Dallas+Associated+Dermatologists/data=!4m7!3m6!1s0x864c232b1cd00f81:0xff1d3e52d8eee2c7!8m2!3d33.0714998!4d-96.794842!16s%2Fg%2F11g9mghq2r!19sChIJgQ_QHCsjTIYRx-Lu2FI-Hf8?authuser=0&hl=en&rclk=1,
Skin Technology,122 W John Carpenter Fwy #125,"122 W John Carpenter Fwy #125, Irving, TX, 75039",(972) 869-6900,http://www.sherryskin.com/,https://www.google.com/maps/place/Skin+Technology/data=!4m7!3m6!1s0x864e828afd577961:0x909fc324606df78c!8m2!3d32.8698954!4d-96.9459793!16s%2Fg%2F1tdgvt9j!19sChIJYXlX_YqCToYRjPdtYCTDn5A?authuser=0&hl=en&rclk=1,
"David R. Wright, M.D.",7445 Las Colinas Blvd,"7445 Las Colinas Blvd, Irving, TX, 75063",(972) 726-6647,http://drposten.com/,"https://www.google.com/maps/place/David+R.+Wright,+M.D./data=!4m7!3m6!1s0x864c21b4f889fb0f:0xac68dcabd1476012!8m2!3d32.9085528!4d-96.9553408!16s%2Fg%2F11g4bqf_33!19sChIJD_uJ-LQhTIYREmBH0avcaKw?authuser=0&hl=en&rclk=1",
"Dr. Laura L. Sears, MD",6750 N MacArthur Blvd #260,"6750 N MacArthur Blvd #260, Irving, TX, 75039",(214) 987-3376,,"https://www.google.com/maps/place/Dr.+Laura+L.+Sears,+MD/data=!4m7!3m6!1s0x864c28316b9459eb:0x8ffafeafcd1c7c42!8m2!3d32.9014175!4d-96.95751!16s%2Fg%2F1tfmnt02!19sChIJ61mUazEoTIYRQnwcza_--o8?authuser=0&hl=en&rclk=1",
Affinity Dermatology,13136 Dallas Pkwy Suite 520,"13136 Dallas Pkwy Suite 520, Dallas, TX, 75240",(469) 480-8100,http://www.affinitydermatology.com/,https://www.google.com/maps/place/Affinity+Dermatology/data=!4m7!3m6!1s0x864c398777c433d5:0xff567a5cf428b2cb!8m2!3d33.1873815!4d-96.8376117!16s%2Fg%2F11mtc_8dhs!19sChIJ1TPEd4c5TIYRy7Io9Fx6Vv8?authuser=0&hl=en&rclk=1,
Legacy Dermatology Center - Prosper,821 N Coleman St #100,"821 N Coleman St #100, Prosper, TX, 75078",(972) 469-2626,https://legacydermatology.com/,https://www.google.com/maps/place/Legacy+Dermatology+Center+-+Prosper/data=!4m7!3m6!1s0x864c3f72638d2e75:0xc57816f9bd2ea3cf!8m2!3d33.243511!4d-96.80265!16s%2Fg%2F11sqz6gkgv!19sChIJdS6NY3I_TIYRz6MuvfkWeMU?authuser=0&hl=en&rclk=1,
Medical City Las Colinas,6800 N MacArthur Blvd,"6800 N MacArthur Blvd, Irving, TX, 75039",(972) 969-2000,https://www.medicalcityhealthcare.com/locations/medical-city-las-colinas-hospital?utm__campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,https://www.google.com/maps/place/Medical+City+Las+Colinas/data=!4m7!3m6!1s0x864c2836cad636a9:0xb76cc9f886ad54ef!8m2!3d32.9022165!4d-96.9572148!16s%2Fm%2F04g3c9t!19sChIJqTbWyjYoTIYR71SthvjJbLc?authuser=0&hl=en&rclk=1,
"Michael Kelly-Sell, MD",7445 Las Colinas Blvd,"7445 Las Colinas Blvd, Irving, TX, 75063",(972) 726-6647,http://drposten.com/,"https://www.google.com/maps/place/Michael+Kelly-Sell,+MD/data=!4m7!3m6!1s0x864c29cc77bdece5:0xa7a844963858320f!8m2!3d32.9085599!4d-96.9553387!16s%2Fg%2F11flx9n0cw!19sChIJ5ey9d8wpTIYRDzJYOJZEqKc?authuser=0&hl=en&rclk=1",
"William Abramovits, MD, FAAD.",2110 Research Row Suite 310,"2110 Research Row Suite 310, Dallas, TX, 75235",(972) 483-9200,https://barederm.com/,"https://www.google.com/maps/place/William+Abramovits,+MD,+FAAD./data=!4m7!3m6!1s0x864c20c163b305a7:0xe64f8941da1ab5!8m2!3d32.8400636!4d-96.8675706!16s%2Fg%2F1tdk0z_9!19sChIJpwWzY8EgTIYRtRraQYlP5gA?authuser=0&hl=en&rclk=1",
Dermatology Center: Cook-Norris Robert MD,2021 N MacArthur Blvd #300,"2021 N MacArthur Blvd #300, Irving, TX, 75061",(972) 254-3118,,https://www.google.com/maps/place/Dermatology+Center:+Cook-Norris+Robert+MD/data=!4m7!3m6!1s0x864e8374be47aa1b:0xbb0b346bb0e83071!8m2!3d32.8361364!4d-96.9544925!16s%2Fg%2F1vc6dtp2!19sChIJG6pHvnSDToYRcTDosGs0C7s?authuser=0&hl=en&rclk=1,
"Dr. Camille L. Mason, MD",·,,(972) 254-3118,,"https://www.google.com/maps/place/Dr.+Camille+L.+Mason,+MD/data=!4m7!3m6!1s0x864e830130ccb509:0xd502cd74a0a9ad13!8m2!3d32.8350339!4d-96.9620817!16s%2Fg%2F1td05ggl!19sChIJCbXMMAGDToYRE62poHTNAtU?authuser=0&hl=en&rclk=1",
Lab Tests,,,,,,
Any Lab Test Now,,,(972) 887-5023,https://www.anylabtestnow.com/irving-75062/,https://www.google.com/maps/place/Any+Lab+Test+Now/data=!4m7!3m6!1s0x864e823307f42d87:0x93fc18936d25b344!8m2!3d32.8411152!4d-96.9921387!16s%2Fg%2F11c5841yl2!19sChIJhy30BzOCToYRRLMlbZMY_JM?authuser=0&hl=en&rclk=1,
Quest Diagnostics,"3501 N MacArthur Blvd Ste 420, Bldg 4","3501 N MacArthur Blvd Suite 420 Building 4, Irving, TX, 75062",(972) 258-0601,https://locations.questdiagnostics.com/tx/irving/3501-n-macarthur-blvd,https://www.google.com/maps/place/Quest+Diagnostics/data=!4m7!3m6!1s0x864e82f74f92262b:0xf672f3b1eedc11d2!8m2!3d32.8525721!4d-96.9599366!16s%2Fg%2F1tdk5lb8!19sChIJKyaST_eCToYR0hHc7rHzcvY?authuser=0&hl=en&rclk=1,
Kroger,515 S MacArthur Blvd,"515 S MacArthur Blvd, Irving, TX, 75060",(972) 259-8023,https://www.kroger.com/stores/grocery/tx/irving/south-irving/035/00495?cid=loc_03500495_gmb,https://www.google.com/maps/place/Kroger/data=!4m7!3m6!1s0x864e83770398acc7:0x7261114e898e2!8m2!3d32.8095055!4d-96.9610021!16s%2Fg%2F1tknkvwl!19sChIJx6yYA3eDToYR4pjoFBEmBwA?authuser=0&hl=en&rclk=1,
Walgreens,1050 W Shady Grove Rd,"1050 W Shady Grove Rd, Irving, TX, 75060",(972) 254-0305,https://www.walgreens.com/locator/walgreens-1050+w+shady+grove+rd-irving-tx-75060/id=4054,https://www.google.com/maps/place/Walgreens/data=!4m7!3m6!1s0x864e837eac84b77b:0x6d4313869c20f186!8m2!3d32.8007616!4d-96.958628!16s%2Fg%2F113k5hdqh!19sChIJe7eErH6DToYRhvEgnIYTQ20?authuser=0&hl=en&rclk=1,
CVS,1333 S Story Rd,"1333 S Story Rd, Irving, TX, 75060",(972) 986-8588,https://www.cvs.com/store-locator/irving-tx-pharmacies/1333-s-storey-rd-irving-tx-75060/storeid=7741?WT.mc_id=LS_GOOGLE_FS_7741,https://www.google.com/maps/place/CVS/data=!4m7!3m6!1s0x864e83f55fb0a915:0x90ea41380a29aafb!8m2!3d32.8008151!4d-96.9777021!16s%2Fg%2F1tc_4hpl!19sChIJFamwX_WDToYR-6opCjhB6pA?authuser=0&hl=en&rclk=1,
Labcorp at Walgreens,3400 N Belt Line Rd,"3400 N Belt Line Rd, Irving, TX, 75062",(972) 645-9550,https://locations.labcorp.com/tx/irving/37046/,https://www.google.com/maps/place/Labcorp+at+Walgreens/data=!4m7!3m6!1s0x864e83051fb8aa3f:0x2dfd0434d3a8779!8m2!3d32.8514567!4d-96.9914752!16s%2Fg%2F11p15jxwft!19sChIJP6q4HwWDToYReYc6TUPQ3wI?authuser=0&hl=en&rclk=1,
Z Diagnostics - Irving,825 W Royal Ln #230,"825 W Royal Ln #230, Irving, TX, 75039",(214) 647-1317,http://www.zdiagnostics.org/,https://www.google.com/maps/place/Z+Diagnostics+-+Irving/data=!4m7!3m6!1s0x864c28327ac09c75:0x6c36b3017b325d21!8m2!3d32.8971735!4d-96.9605982!16s%2Fg%2F11nnk0ntgd!19sChIJdZzAejIoTIYRIV0yewGzNmw?authuser=0&hl=en&rclk=1,
AutoZone Auto Parts,,,(972) 513-0173,https://www.autozone.com/locations/tx/irving/2314-w-shady-grove-rd.html?cmpid=LOC:US:EN:AD:NL:1000000:GEN:6248,https://www.google.com/maps/place/AutoZone+Auto+Parts/data=!4m7!3m6!1s0x864e8388c5f5f8db:0x8ed8830631c83eaa!8m2!3d32.7993554!4d-96.9765624!16s%2Fg%2F11bbrkc2wc!19sChIJ2_j1xYiDToYRqj7IMQaD2I4?authuser=0&hl=en&rclk=1,
CVS Pharmacy y más,2222 N Story Rd,"2222 N Story Rd, Irving, TX, 75062",(972) 255-4155,https://www.cvs.com/store-locator/irving-tx-pharmacies/2222-n-story-rd-irving-tx-75062/storeid=6803?WT.mc_id=LS_GOOGLE_RX_6803,https://www.google.com/maps/place/CVS+Pharmacy+y+m%C3%A1s/data=!4m7!3m6!1s0x864e83b2bfcfe9af:0x43c332312c5e6ede!8m2!3d32.8382592!4d-96.975821!16s%2Fg%2F11c4694j54!19sChIJr-nPv7KDToYR3m5eLDEyw0M?authuser=0&hl=en&rclk=1,
Labtek STD Testing Centre,·,,(469) 649-8482,,https://www.google.com/maps/place/Labtek+STD+Testing+Centre/data=!4m7!3m6!1s0x864e8324554ab91f:0x23b8f67e18155125!8m2!3d32.8523296!4d-96.9599759!16s%2Fg%2F11h9bs9qfj!19sChIJH7lKVSSDToYRJVEVGH72uCM?authuser=0&hl=en&rclk=1,
MacArthur OB/GYN Sonography,3501 N MacArthur Blvd #600,"3501 N MacArthur Blvd #600, Irving, TX, 75062",(972) 256-3700,https://macarthurmc.com/,https://www.google.com/maps/place/MacArthur+OB%2FGYN+Sonography/data=!4m7!3m6!1s0x864e82f74f92262b:0x5636fa76db3a57d1!8m2!3d32.852949!4d-96.9609248!16s%2Fg%2F11df6c9583!19sChIJKyaST_eCToYR0Vc623b6NlY?authuser=0&hl=en&rclk=1,
Albertsons,2200 W Shady Grove Rd,"2200 W Shady Grove Rd, Irving, TX, 75060",(972) 374-5110,https://local.albertsons.com/tx/irving/2200-w-shady-grove-rd.html,https://www.google.com/maps/place/Albertsons/data=!4m7!3m6!1s0x864e83aa1cbe8441:0x47c687e59120be57!8m2!3d32.8000811!4d-96.974881!16s%2Fg%2F11shkmg1m2!19sChIJQYS-HKqDToYRV74gkeWHxkc?authuser=0&hl=en&rclk=1,
Clinical Pathology Laboratories (CPL) - Las Colinas,6121 State Hwy 161 #101,"6121 State Highway 161 #101, Irving, TX 75038",(972) 546-2442,https://www.cpllabs.com/,https://www.google.com/maps/place/Clinical+Pathology+Laboratories+%28CPL%29+-+Las+Colinas/data=!4m7!3m6!1s0x864c29483be673ef:0xbbf80ccfc00e053b!8m2!3d32.8911678!4d-96.9816458!16s%2Fg%2F11hfp83_kc!19sChIJ73PmO0gpTIYROwUOwM8M-Ls?authuser=0&hl=en&rclk=1,
MD Family Clinic,1111 S Irving Heights Dr,"1111 S Irving Heights Dr, Irving, TX 75060",(972) 579-7979,https://mdmedicalgroup.us/location/irving-heights/,https://www.google.com/maps/place/MD+Family+Clinic/data=!4m7!3m6!1s0x864e83542404ce6d:0xf17059b2fba9bb70!8m2!3d32.8014677!4d-96.9259865!16s%2Fg%2F1tdg_q1p!19sChIJbc4EJFSDToYRcLup-7JZcPE?authuser=0&hl=en&rclk=1,
7-Eleven,100 E Shady Grove Rd,"100 E Shady Grove Rd, Irving, TX 75060",(972) 253-9522,https://www.7-eleven.com/locations/tx/irving/100-east-shady-grove-19091,https://www.google.com/maps/place/7-Eleven/data=!4m7!3m6!1s0x864e836145868941:0xf59a6f09e2c1f38e!8m2!3d32.8008334!4d-96.9465159!16s%2Fg%2F1tj89v8r!19sChIJQYmGRWGDToYRjvPB4glvmvU?authuser=0&hl=en&rclk=1,
ARCpoint Labs of Irving,8925 Sterling St #255,"8925 Sterling St #255, Irving, TX 75063",(469) 209-7400,https://www.arcpointlabs.com/irving/?utm_source=GMrB&utm_medium=organic&utm_campaign=irving,https://www.google.com/maps/place/ARCpoint+Labs+of+Irving/data=!4m7!3m6!1s0x864c2bcd7f6982e3:0xebeb9e502c7edc64!8m2!3d32.9296572!4d-97.0176819!16s%2Fg%2F11gz_4pqs!19sChIJ44Jpf80rTIYRZNx-LFCe6-s?authuser=0&hl=en&rclk=1,
Labcorp,7501 Las Colinas Blvd Ste 100,"7501 Las Colinas Blvd Suite 100, Irving, TX 75063",(972) 444-0272,https://locations.labcorp.com/tx/irving/22545/,https://www.google.com/maps/place/Labcorp/data=!4m7!3m6!1s0x864c28484953e0dd:0xfe6c687160b4c2b4!8m2!3d32.9097834!4d-96.9555275!16s%2Fg%2F1ptz79krx!19sChIJ3eBTSUgoTIYRtMK0YHFobP4?authuser=0&hl=en&rclk=1,
CareNow Urgent Care - Irving,2675 N Belt Line Rd,"2675 N Belt Line Rd, Irving, TX 75062",(469) 299-5445,https://www.carenow.com/locations/dallas-fort-worth/irving?utm__campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,https://www.google.com/maps/place/CareNow+Urgent+Care+-+Irving/data=!4m7!3m6!1s0x864e8353eb809e65:0x8b6cdfce9755c5bc!8m2!3d32.843021!4d-96.9928481!16s%2Fg%2F11p9vy0jjp!19sChIJZZ6A61ODToYRvMVVl87fbIs?authuser=0&hl=en&rclk=1,
Baylor Scott & White Medical Center - Irving,1901 N MacArthur Blvd,"1901 N MacArthur Blvd, Irving, TX 75061",(972) 990-8100,https://www.bswhealth.com/locations/irving-hospital,https://www.google.com/maps/place/Baylor+Scott+%26+White+Medical+Center+-+Irving/data=!4m7!3m6!1s0x864e8301297838c7:0x8c6d0e41c3617fc7!8m2!3d32.834711!4d-96.960209!16s%2Fg%2F1tf9tb9w!19sChIJxzh4KQGDToYRx39hw0EObYw?authuser=0&hl=en&rclk=1,
MedExpress Urgent Care,3413 N Belt Line Rd,"3413 N Belt Line Rd, Irving, TX 75062",(972) 252-9809,https://www.medexpress.com/location/tx/irving/irx/?utm_campaign=MX_Brand_2021&utm_medium=NPS&utm_source=YEXT&utm_term=2021yi2jl3az19,https://www.google.com/maps/place/MedExpress+Urgent+Care/data=!4m7!3m6!1s0x864e83ff2ee41959:0x5ad41342d22e955e!8m2!3d32.8521708!4d-96.9928897!16s%2Fg%2F11fd4rhkwc!19sChIJWRnkLv-DToYRXpUu0kIT1Fo?authuser=0&hl=en&rclk=1,
7-Eleven,1600 TX-356,"1600 TX-356, Irving, TX 75060",(214) 236-1396,https://www.7-eleven.com/locations/tx/irving/1600-hwy-356-irving-heigh-25758,https://www.google.com/maps/place/7-Eleven/data=!4m7!3m6!1s0x864e834df566f979:0xdc6be31e982c7a2b!8m2!3d32.8086367!4d-96.9251611!16s%2Fg%2F1w0h7x_r!19sChIJeflm9U2DToYRK3osmB7ja9w?authuser=0&hl=en&rclk=1,
Rapid City Urgent Care,800 W Airport Fwy Suite 100,"800 W Airport Fwy Suite 100, Irving, TX 75062",(214) 308-1106,https://www.rapidcitycare.com/,https://www.google.com/maps/place/Rapid+City+Urgent+Care/data=!4m7!3m6!1s0x864e8329182e67f3:0x6532815db5bfb32e!8m2!3d32.8364488!4d-96.9541469!16s%2Fg%2F11r981nxls!19sChIJ82cuGCmDToYRLrO_tV2BMmU?authuser=0&hl=en&rclk=1,
CVS,2222 N Story Rd,"2222 N Story Rd, Irving, TX 75062",(972) 255-4155,https://www.cvs.com/store-locator/irving-tx-pharmacies/2222-n-story-rd-irving-tx-75062/storeid=6803?WT.mc_id=LS_GOOGLE_FS_6803,https://www.google.com/maps/place/CVS/data=!4m7!3m6!1s0x864e83b2c1bc50d1:0xb3100223b9c33d73!8m2!3d32.8382592!4d-96.975821!16s%2Fg%2F1tnl1tf3!19sChIJ0VC8wbKDToYRcz3DuSMCELM?authuser=0&hl=en&rclk=1,
ViaScan - Full Body Scan,349 E Las Colinas Blvd Suite C,"349 E Las Colinas Blvd Suite C, Irving, TX 75039",(972) 739-2840,http://www.123bodyscan.com/,https://www.google.com/maps/place/ViaScan+-+Full+Body+Scan/data=!4m7!3m6!1s0x864e82b8b23bcb35:0x3e25166a0702ed80!8m2!3d32.8658542!4d-96.9371047!16s%2Fg%2F1th246fc!19sChIJNcs7sriCToYRgO0CB2oWJT4?authuser=0&hl=en&rclk=1,
MI Clinica Familiar,1111 W Airport Fwy Suite # 225,"1111 W Airport Fwy Suite #225, Irving, TX 75062",(214) 441-9644,http://www.miclinicafamiliar.com/,https://www.google.com/maps/place/MI+Clinica+Familiar/data=!4m7!3m6!1s0x864e83004dc149eb:0xaf25a6a85df270cc!8m2!3d32.8384006!4d-96.9601347!16s%2Fg%2F1yh9sqnxk!19sChIJ60nBTQCDToYRzHDyXaimJa8?authuser=0&hl=en&rclk=1,
