Business Name,Address,City,State,Zip,License Number,Phone Number,Contractor Type,Website,Email,Sourse Link,Worker
BOSCO CONSTRUCTION SERVICES INC,1177 N 15TH ST,SAN JOSE,CA,95112,952978,(408) 437-0337,Painting,,,,Rehan
BOSS ELECTRIC,3555 PINE RIDGE WAY,SAN JOSE,CA,95127,1018728,(408) 649-7719,Electrical,,,,Zohaib Tariq
BOTAD CONSTRUCTION CORPORATION,2675 GLEN ELK CT,SAN JOSE,CA,95148,1015132,(408) 758-8850,General,,,,Zohaib Tariq
BOW's CONSTRUCTION,5889 COMANCHE DE,SAN JOSE,CA,95123,805566,(408) 390-3621,General,,,,Zohaib Tariq
BOWEN CONSTRUCTION,3241 OVERBROOK DRIVE,SAN JOSE,CA,95118,873365,(408) 893-9502,General,,,,Zohaib Tariq
BOWERS TILE INC,466 CURIE DRIVE,SAN JOSE,CA,95123,733031,(408) 210-8180,Tile,,,,Zohaib Tariq
BOX CRIB INC,200 FORD RD SPC 25,SAN JOSE,CA,95138,1108452,(408) 840-6906,General,,,,Zohaib Tariq
BOYCE BOB,6096 VINCENT COURT,SAN JOSE,CA,95123,654929,(408) 972-2605,General,,,,Zohaib Tariq
BOYD GREG,1622 KOCH LANE,SAN JOSE,CA,95125,748938,(408) 406-1470,General,,,,Zohaib Tariq
BOYD PATRICK,279 TRADEWINDS DRIVE APT 7,SAN JOSE,CA,95123,1068514,(408) 644-1552,HVAC,,,,Zohaib Tariq
BOYD's TREE SERVICE AND LANDSCAPING MAINTENANCE,P O BOX 20122,SAN JOSE,CA,95160,665121,(408) 371-5040,Tree,https://www.boydstreeservice.com/,boydstslm@gmail.com,,Zohaib Tariq
BOYNTON JEROME F,205 DEANZA BLVD PMB 333,SAN MATEO,CA,94402,1115135,(650) 280-7529,General,,,,Zohaib Tariq
BRACHO MARBLE & GRANITE CO,571 ILLINOIS AVE,SAN JOSE,CA,95125,1111770,(510) 505-9470,Tile,,,,Zohaib Tariq
BRACY T ELECTRICAL SERVICES,P O BOX 611988,SAN JOSE,CA,95161,949942,(408) 482-7676,Electrical,,,,Zohaib Tariq
BRADLEY AARON CONSTRUCTION REPAIR AND REMODELING,112 CHERRY BLOSSOM DRIVE,SAN JOSE,CA,95123,684452,(408) 226-7108,General,https://aaronbradley.net/,aaronpatrickbradley@msn.com,,Zohaib Tariq
BRADLEY AARON CONSTRUCTION REPAIR AND REMODELING,112 CHERRY BLOSSOM DRIVE,SAN JOSE,CA,95123,684452,(408) 226-7108,Painting,,,,Rehan
BRADLEY PAINTING /DECORATING,2854 JULIO AVENUE,SAN JOSE,CA,95124,1091431,(408) 859-0699,Painting,,,,Zohaib Tariq
BRADVICA ANDREW L,2890 MT PLEASANT ROAD,SAN JOSE,CA,95148,848601,(619) 920-4049,General,,,,Zohaib Tariq
BRAJAN CONSTRUCTION INC,2154 O'toole AVE STE E,SAN JOSE,CA,95131,975211,(650) 353-0994,General,https://brajanconstruction.com/contact-us,info@brajanconstruction.com,,Zohaib Tariq
BRAJAN CONSTRUCTION INC,2154 O'toole AVE STE E,SAN JOSE,CA,95131,975211,(650) 353-0994,Plumbing,,,,Rehan
BRANDT PLUMBING,P O BOX 25171,SAN MATEO,CA,94402,860519,(650) 931-4072,Plumbing,http://brandtplumbing.com/,brandtplumbing@contractor.net,,Zohaib Tariq
BRASIL's ELECTRIC,71 PICKFORD AVENUE,SAN JOSE,CA,95127,443965,(408) 259-0465,Electrical,,,,Zohaib Tariq
BRASSTACK,39120 ARGONAUT WAY #279,FREMONT,CA,94538,1103474,(650) 930-8878,General,,,,Zohaib Tariq
BRAWN COATINGS,1434 PALMWOOD DRIVE,SAN JOSE,CA,95122,1085582,(408) 469-7160,General,,,,Zohaib Tariq
BRAWN COATINGS,1434 PALMWOOD DRIVE,SAN JOSE,CA,95122,1085582,(408) 469-7160,Painting,,,,Rehan
BREAKGROUND EXCAVATING,P O BOX 18176,SAN JOSE,CA,95158,966174,(408) 607-6230,General,,,,Zohaib Tariq
BREDSTEEN ROBERT CORP,1751 WILLOW ST,SAN JOSE,CA,95125,1067840,(408) 963-1469,General,,,,Zohaib Tariq
BREHM DANIEL R,5694 CROW LANE,SAN JOSE,CA,95123,680106,(408) 613-8983,General,,,,Zohaib Tariq
BRENTS CUSTOM CABINETS INC,43180 OSGOOD ROAD,FREMONT,CA,94539,607899,(510) 438-9663,Finish Carpentry,http://www.brentscustomcabinets.com/,info@brentscustomcabinets.com,,Zohaib Tariq
BRESSANI CONSTRUCTION,1449 ST FRANCIS DR,SAN JOSE,CA,95125,431311,(408) 224-4126,General,,info@bressaniconst.com,,Zohaib Tariq
BRIAN's WELDING,197 RYLAND ST,SAN JOSE,CA,95110,583440,(408) 275-9834,Ornamental Metals,http://www.brianswelding.com/,brianswelding@sbcglobal.net,,Zohaib Tariq
BRIARWOOD PROPERTY MANAGEMENT,1750 LUNDY AVE  611854,SAN JOSE,CA,95161,1022528,(650) 669-4124,General,,,,Zohaib Tariq
BRICE KIRSTEN INC,329 J STREET,FREMONT,CA,94536,965987,(510) 393-4515,General,,,,Zohaib Tariq
BRIDGEVIEW CONSTRUCTION INC,1825 ALTA MIRA PLACE,SAN JOSE,CA,95131,1069866,(408) 613-0624,General,,,,Zohaib Tariq
BRIDGEVIEW CONSTRUCTION INC,1825 ALTA MIRA PLACE,SAN JOSE,CA,95131,1069866,(408) 613-0624,Plumbing,,,,Rehan
BRIGHT KEY CONSTRUCTION,PO BOX 611924,SAN JOSE,CA,95161,1060807,(408) 449-7705,General,,,,Zohaib Tariq
BRIGHTWATT ELECTRIC INC,1631 HILLMONT AVE,SAN JOSE,CA,95127,1129801,(408) 599-1158,Electrical,,,,Zohaib Tariq
BRILLIANT CONSTRUCTION COMPANY LLC,821 SHERMAN OAKS DR,SAN JOSE,CA,95128,1074453,(510) 759-3319,General,,,,Zohaib Tariq
BRILLIANT GENERAL MAINTENANCE INC,954 CHESTNUT STREET,SAN JOSE,CA,95110,943276,(408) 274-6677,General,https://rcc-bgm.com/,dhmontes@rcc-bgm.com,,Zohaib Tariq
BRILLIANT GENERAL MAINTENANCE INC,954 CHESTNUT STREET,SAN JOSE,CA,95110,943276,(408) 274-6677,Landscaping,,,,Rehan
BRISCOE CONSTRUCTION INC,467 SARATOGA AVE #1450,SAN JOSE,CA,95129,1033189,(408) 627-1334,General,,,,Zohaib Tariq
BRITO H CONSTRUCTION,7398 PEGASUS WAY,SAN JOSE,CA,95139,851024,(408) 667-3513,General,,,,Zohaib Tariq
BRITO H CONSTRUCTION,7398 PEGASUS WAY,SAN JOSE,CA,95139,851024,(408) 667-3513,Landscaping,,,,Rehan
BROOK CONSTRUCTION MANAGEMENT LLC,6475 CAMDEN AVENUE SUITE 202,SAN JOSE,CA,95120,1023611,(408) 398-6421,General,https://www.brookcm.com/,cassidy@brookcm.com,,Zohaib Tariq
BROOKMAT CORP,4725 THORNTON AVENUE,FREMONT,CA,94536,357401,(510) 797-7980,General,,,,Rehan
BROOKS ELECTRIC,1881 LA PORTE AVENUE,SAN JOSE,CA,95122,1120600,(408) 726-5204,Electrical,,,,Zohaib Tariq
BROSCOE ELECTRIC,5655 SILVER CREEK VALLEY ROAD,SAN JOSE,CA,95138,668510,(408) 223-8111,Electrical,https://broscoeelectric.com/,broscoe@sbcglobal.net,,Zohaib Tariq
BROTHER AND BROTHER BUILDERS,3109 STEVENS CREEK BLVD,SAN JOSE,CA,95117,887389,(408) 425-2574,General,,,,Zohaib Tariq
BROUSSEAU's PAINTING,2949 MAGLIOCCO DRIVE #A,SAN JOSE,CA,95128,779025,(408) 757-2356,Painting,,,,Zohaib Tariq
BROWN BILL CONSTRUCTION COMPANY,242 PHELAN AVENUE,SAN JOSE,CA,95112,684764,(408) 297-3738,General,https://bbrownconstruction.com/,info@bbrownconstruction.com,,Zohaib Tariq
BROWN BILL CONSTRUCTION COMPANY,242 PHELAN AVENUE,SAN JOSE,CA,95112,684764,(408) 297-3738,General,,,,Rehan
BROWN BILL CONSTRUCTION COMPANY,242 PHELAN AVENUE,SAN JOSE,CA,95112,684764,(408) 297-3738,Concrete,,,,Rehan
BROWN BILL CONSTRUCTION COMPANY,242 PHELAN AVENUE,SAN JOSE,CA,95112,684764,(408) 297-3738,Demolition,,,,Rehan
BROWN J CONSTRUCTION,5082 HOWES LN,SAN JOSE,CA,95118,536027,(408) 269-8073,General,https://www.jbrownconstruction.net/,jbrownco1@yahoo.com,,Zohaib Tariq
BROWN JAMES PLUMBING,1840 S 7TH ST SPACE 46,SAN JOSE,CA,95112,1053274,(408) 387-2187,Plumbing,,,,Zohaib Tariq
BROWN RANDY GENERAL CONTRACTOR,888 FAULSTICH CT,SAN JOSE,CA,95112,640466,(408) 690-7520,General,https://www.losgatosroofing.com/,info@losgatosroofing.com,,Zohaib Tariq
BRT BUILDER,3716 KAY COURT,FREMONT,CA,94538,1128338,(510) 552-0574,General,,,,Zohaib Tariq
BRT DEVELOPMENT,3716 KAY COURT,FREMONT,CA,94538,1131681,(510) 552-0574,General,,,,Rehan
BRUCKNER PAINTING,1298 DELMAS AVE,SAN JOSE,CA,95125,778253,(408) 314-4744,Painting,,,,Zohaib Tariq
BRUNO's TILING,1722 ELLEN AVENUE,SAN JOSE,CA,95125,721153,(408) 314-2293,Tile,,,,Zohaib Tariq
BRUSH WORKS PAINTING & DECORATING THE,6020 SANFORD DRIVE,SAN JOSE,CA,95123,668199,(408) 972-1410,Painting,,brushworkspaintingBR@gmail.com,,Zohaib Tariq
BRUSHBUILDERS INC,4011 CRANFORD CIRCLE,SAN JOSE,CA,95124,1054731,(408) 375-4476,General,,,,Zohaib Tariq
BRYCIN CONTRUCTION COMPANY,735 HOPI DR,FREMONT,CA,94539,645856,(510) 366-1335,General,,,,Zohaib Tariq
BRYCOR,1827 RANDALL ROAD,SAN MATEO,CA,94402,804229,(650) 341-1111,General,https://brycorplumbing.com/,,,Zohaib Tariq
BRYCOR,1827 RANDALL ROAD,SAN MATEO,CA,94402,804229,(650) 341-1111,Plumbing,,,,Rehan
BRYSON ROOFING INC,P O BOX 331,SAN MATEO,CA,94401,387712,(650) 875-1808,Roofing,,,,Zohaib Tariq
BSV CONSTRUCTION,5676 MORTON WAY,SAN JOSE,CA,95123,1090216,(715) 207-9335,General,,,,Zohaib Tariq
BUCA BUILDERS INC,17 VISTA AVW,SAN MATEO,CA,94403,975506,(650) 630-6742,General,,,,Zohaib Tariq
BUCCANEER DEMOLITION INC,1010 SOUTH FIRST STREET,SAN JOSE,CA,95110,836203,(408) 977-7979,General,https://buccaneerdemolition.com/,info@buccaneerdemolition.com,,Zohaib Tariq
BUCCANEER DEMOLITION INC,1010 SOUTH FIRST STREET,SAN JOSE,CA,95110,836203,(408) 977-7979,Demolition,,,,Rehan
BUCHANAN JASON E,832 OWENS LAKE DR,SAN JOSE,CA,95123,940509,(408) 910-0332,General,,,,Zohaib Tariq
BUCHANAN JASON E,832 OWENS LAKE DR,SAN JOSE,CA,95123,940509,(408) 910-0332,Electrical,,,,Rehan
BUCHANAN JASON E,832 OWENS LAKE DR,SAN JOSE,CA,95123,940509,(408) 910-0332,Fire Protection,,,,Rehan
BUCKEYE LANDSCAPE INC,2437 VERWOOD DRIVE,SAN JOSE,CA,95130,1085606,(408) 315-2573,Landscaping,https://www.buckeyelandscapeinc.com/,gerardo@buckeyelandscape.us,,Zohaib Tariq
BUD's FLOORS,5462 TRADEWINDS WALKWAY #3,SAN JOSE,CA,95123,988490,(408) 605-8908,Flooring,,,,Zohaib Tariq
BUDGET ELECTRIC,37864 LOS ARBOLES DRIVE,FREMONT,CA,94536,485312,(510) 509-2975,Electrical,,,,Zohaib Tariq
BUENA VISTA FAUX & MURAL PAINTING,440 E SAINT JAMES ST,SAN JOSE,CA,95112,819025,(408) 438-1216,Painting,http://www.bvartists.com/,donna@bvartists.com,,Zohaib Tariq
BUENO PLUMBING & ROOTER,4954 RUE CALAIS,SAN JOSE,CA,95136,1073601,(408) 440-2728,Plumbing,https://www.buenoplumbing.com/,kbuenoplumbing@gmail.com,,Zohaib Tariq
BUERK J LANDSCAPE / MAINTENANCE,1898 GLEN UNA AVE,SAN JOSE,CA,95125,830345,(408) 348-6019,Landscaping,,,,Zohaib Tariq
BUI HUNG,3017 MAUNA LOA CT,SAN JOSE,CA,95132,1094578,(408) 444-0662,General,,,,Zohaib Tariq
BUI LONG HANDYMAN SERVICES INCORPORATION,2536 SHILSHONE CIRCLE,SAN JOSE,CA,95121,1113463,(408) 705-3354,General,,,,Zohaib Tariq
BUILD BY TITAN INC,325 PHELAN AVE,SAN JOSE,CA,95112,948867,(408) 338-7788,General,https://www.buildbytitan.com/,titan@buildbytitan.com,,Zohaib Tariq
BUILD BY TITAN INC,325 PHELAN AVE,SAN JOSE,CA,95112,948867,(408) 338-7788,Tile,,,,Rehan
BUILD PRO,6526 KOREMATSU CT,SAN JOSE,CA,95120,1093271,(818) 481-5677,General,,,,Zohaib Tariq
BUILD THE BAY INC,1714 HARMIL WAY,SAN JOSE,CA,95125,1062384,(415) 283-6954,General,,,,Zohaib Tariq
BUILDCOM CONSTRUCTION,3118GARDEN AVE #2,SAN JOSE,CA,95111,966238,(408) 605-9382,General,,,,Zohaib Tariq
BUILDEN GROUP INC,3141 STEVENS CREEK BLVD 228,SAN JOSE,CA,95117,1068711,(408) 881-4155,General,,,,Zohaib Tariq
BUILDER & COMPANY INC,1548 MAURICE LN APT 54,SAN JOSE,CA,95129,1013598,(415) 757-9091,General,,,,Zohaib Tariq
BUILDER ARTS DESIGN,4727 LITTLE RIVER COURT,SAN JOSE,CA,95136,1117165,(408) 655-3819,General,,,,Zohaib Tariq
BUILDER PLUS CONSTRUCTION LLC,1364 SHOREVIEW CT,SAN JOSE,CA,95122,1079330,(415) 309-0641,General,,,,Zohaib Tariq
BUILDER SURPLUS CARPETS INC,1020 W SAN CARLOS ST,SAN JOSE,CA,95126,757217,(408) 288-7678,Flooring,,,,Zohaib Tariq
BUILDER UP INC,476 MCCAMISH AVE,SAN JOSE,CA,95123,1069679,(650) 690-1924,General,,,,Zohaib Tariq
BUILDING & HOME REPAIR SERVICE INC,PO BOX 9305,SAN JOSE,CA,95157,879705,(408) 247-6565,General,https://www.buildinghomerepair.com/contact-us.html,bhrservicing@att.net,,Zohaib Tariq
BUILDING COMPANY THE,423 PERRYMONT AVE,SAN JOSE,CA,95125,425229,(408) 265-7500,General,https://www.thebuildingcompany.org/,office@thebuildingcompany.org,,Zohaib Tariq
BUILDING DREAMS CUSTOM LANDSCAPING CORP,1664 E SAN FERNANDO ST,SAN JOSE,CA,95116,1117894,(408) 722-0830,Landscaping,,,,Zohaib Tariq
BUILDING WORKS THE,2730 UNION AVE STE B,SAN JOSE,CA,95124,442850,(408) 559-8850,General,,,,Zohaib Tariq
BUILDMETA CORPORATION,1293 JULI LYNN DR,SAN JOSE,CA,95120,1087397,(669) 699-8102,General,,,,Rehan
BUILDRIGHT CONSTRUCTION,PO BOX 20883,SAN JOSE,CA,95160,1071156,(408) 646-5742,General,,,,Zohaib Tariq
BUILDSMITH CONSTRUCTION,4285 PAYNE AVE,SAN JOSE,CA,95117,1002915,(408) 641-1651,General,,,,Zohaib Tariq
BUILDVERSE,2311 SUNNY VISTA DR,SAN JOSE,CA,95128,1111603,(512) 658-0564,General,,,,Zohaib Tariq
BUILTECH CONSTRUCTION GROUP INC,742 CHARCOT AVE,SAN JOSE,CA,95131,1079074,(510) 585-7388,General,https://www.builtechconstructiongroup.com/,builtechconstructiongroup@gmail.com,,Zohaib Tariq
BUILTECH CONSTRUCTION GROUP INC,742 CHARCOT AVE,SAN JOSE,CA,95131,1079074,(510) 585-7388,General,,,,Rehan
BUILTECH CONSTRUCTION GROUP INC,742 CHARCOT AVE,SAN JOSE,CA,95131,1079074,(510) 585-7388,Concrete,,,,Rehan
BUILTEX CONTRACTOR,170 KAYAK DR,SAN JOSE,CA,95111,976320,(408) 439-2226,General,,,,Zohaib Tariq
BUILTEX CONTRACTOR,170 KAYAK DR,SAN JOSE,CA,95111,976320,(408) 439-2226,Finish Carpentry,,,,Rehan
BUILTEX CONTRACTOR,170 KAYAK DR,SAN JOSE,CA,95111,976320,(408) 439-2226,Plumbing,,,,Rehan
BUILTWELL MARBLE & GRANITE TILE,1780 OLD BAYSHORE HIGHWAY A,SAN JOSE,CA,95112,1095131,(408) 368-3368,Tile,https://builtwellmarblegranite.com/,builtwellmarblengranite@gmail.com,,Zohaib Tariq
BUKAZOO INC,5076 LE MICCINE TERRACE,SAN JOSE,CA,95129,1000228,(408) 571-8380,General,,,,Zohaib Tariq
BUKAZOO INC,5076 LE MICCINE TERRACE,SAN JOSE,CA,95129,1000228,(408) 571-8380,HVAC,,,,Rehan
BUKAZOO INC,5076 LE MICCINE TERRACE,SAN JOSE,CA,95129,1000228,(408) 571-8380,Plumbing,,,,Rehan
BULJAN CONSTRUCTION,1746 DEWEY ST,SAN MATEO,CA,94403,1027459,(650) 653-1582,General,,,,Zohaib Tariq
BULLSEYE PLUMBING,P O BOX 25511,SAN MATEO,CA,94402,961960,(650) 515-6607,Plumbing,,,,Zohaib Tariq
BUMI CONSTRUCTION INC,2345 CASTILLEJO WAY,FREMONT,CA,94539,1115850,(341) 228-4313,General,https://www.bumiconstruction.com/,info@bumiconstruction.com,,Zohaib Tariq
BUOMPENSIERO PLUMBING,PMB 454 105 SERRA WAY,SAN JOSE,CA,95133,804182,(408) 535-1304,Plumbing,,,,Zohaib Tariq
BURCA CONSTRUCTION,5580 THURESON WAY,SAN JOSE,CA,95124,1011417,(408) 843-3942,General,,,,Zohaib Tariq
BURLINGAME LIGHTING COMPANY INC,1041 S CLAREMONT,SAN MATEO,CA,94402,920088,(650) 344-8716,Electrical,,,,Zohaib Tariq
BURNHAM-CONSTRUCTION INC,1524 COWPER CT,SAN JOSE,CA,95120,775427,(408) 600-9732,General,,,,Zohaib Tariq
BURNHAM's WOODWORKING,14829 HOLDEN WAY,SAN JOSE,CA,95124,635985,(408) 772-6773,Finish Carpentry,,,,Zohaib Tariq
BURR PLUMBING AND PUMPING INC,1645 ALMADEN ROAD,SAN JOSE,CA,95125,730349,(408) 287-2877,General,,,,Zohaib Tariq
BURR PLUMBING AND PUMPING INC,1645 ALMADEN ROAD,SAN JOSE,CA,95125,730349,(408) 287-2877,Electrical,,,,Rehan
BURR PLUMBING AND PUMPING INC,1645 ALMADEN ROAD,SAN JOSE,CA,95125,730349,(408) 287-2877,Plumbing,,,,Rehan
BURT REMODELING,77 N ELLSWORTH AVE APT 2,SAN MATEO,CA,94401,1127264,(650) 787-7880,General,,,,Zohaib Tariq
BURWELL CONSTRUCTION,724 LAUREL AVE 302,SAN MATEO,CA,94401,815295,(650) 918-2615,General,,,,Zohaib Tariq
BUTKOVIC CONSTRUCTION,3166 NEAL AVE 4,SAN JOSE,CA,95117,889187,(408) 442-2408,General,,,,Zohaib Tariq
BUTLER CONSTRUCTION OWNER's REPRESENTATION,2633 MASON LANE,SAN MATEO,CA,94403,1005814,(650) 333-9888,General,,,,Zohaib Tariq
BWB BUILDERS INC,534 HORNING ST.,SAN JOSE,CA,95112,1005702,(408) 287-4886,General,https://bnwbuild.com/,office@bnwbuild.com,,Zohaib Tariq
BY THE YARD,2394 LA MIRADA DR,SAN JOSE,CA,95125,748650,(408) 294-1414,General,,,,Zohaib Tariq
BY THE YARD,2394 LA MIRADA DR,SAN JOSE,CA,95125,748650,(408) 294-1414,Landscaping,,,,Rehan
BYRNE ROBERT E ELECTRIC,P O BOX 6907,SAN MATEO,CA,94403,697850,(650) 270-7632,Electrical,,,,Zohaib Tariq
C & A ELECTRIC,14291 BRANHAM LANE,SAN JOSE,CA,95124,476603,(408) 559-7024,Electrical,,,,Zohaib Tariq
C & A PAINTING LLC,1260 YARD CT STE A,SAN JOSE,CA,95133,728943,(408) 437-0337,General,,,,Rehan
C & A PAINTING LLC,1260 YARD CT STE A,SAN JOSE,CA,95133,728943,(408) 437-0337,Painting,,,,Rehan
C & E PLUMBING & SEWER SERVICE INC,P O BOX 731318,SAN JOSE,CA,95173,1056820,(408) 832-0780,Plumbing,,,,Zohaib Tariq
C & J CONTRACTING INC,331 COMMERCIAL ST,SAN JOSE,CA,95112,467104,(408) 374-6025,General,https://www.cnjcontr.com/contact,sreno@cnjcontr.com,,Zohaib Tariq
C & J CONTRACTING INC,331 COMMERCIAL ST,SAN JOSE,CA,95112,467104,(408) 374-6025,HVAC,,,,Rehan
C & J CONTRACTING INC,331 COMMERCIAL ST,SAN JOSE,CA,95112,467104,(408) 374-6025,Painting,,,,Rehan
C & O PAINTING INC,1500 N 4TH STREET,SAN JOSE,CA,95112,501260,(408) 279-8011,Painting,https://www.candopaintinginc.com/,Rick@candopainting.com,,Zohaib Tariq
C & S PAINTING INC,2055 ALUM ROCK AVE STE B,SAN JOSE,CA,95116,801876,(408) 347-0410,General,,info@candspainting.net,https://www.instagram.com/cands_painting/,Zohaib Tariq
C & S PAINTING INC,2055 ALUM ROCK AVE STE B,SAN JOSE,CA,95116,801876,(408) 347-0410,Painting,,,,Rehan
C & T CONSTRUCTION,39870 WYATT LANE,FREMONT,CA,94538,530223,(510) 928-6360,General,,,,Zohaib Tariq
C A BUCHER PAINTING COMPANY INC,2552 SEABOARD AVE,SAN JOSE,CA,95131,216952,(408) 433-9866,Painting,,,,Zohaib Tariq
C A COMMERCIAL CLEANING INC,4299 WINDSOR PARK DRIVE,SAN JOSE,CA,95136,930150,(408) 613-2673,Clean Up,,,,Zohaib Tariq
C A CONSTRUCTION,579 BREEZYGLEN COURT,SAN JOSE,CA,95133,923063,(408) 835-3923,General,,,,Zohaib Tariq
C A G E DESIGN BUILD INC,P O BOX 6030,SAN JOSE,CA,95150,941619,(408) 903-3700,General,https://www.cagedesignbuild.com/,info@cagedesignbuild.com,,Zohaib Tariq
C A L LANDSCAPING,429 KENSINGTON PARK COURT,SAN JOSE,CA,95136,858846,(408) 629-5073,Landscaping,https://www.calandscaping.net/,sales@calandscaping.net,,Zohaib Tariq
C B B BUILDERS,4175 SAN FELIPE ROAD,SAN JOSE,CA,95135,767824,(408) 705-6446,General,,,,Zohaib Tariq
C B B BUILDERS,4175 SAN FELIPE ROAD,SAN JOSE,CA,95135,767824,(408) 705-6446,Concrete,,,,Rehan
C B ENTERPRISES,164 EAST HILLSDALE BOULEVARD,SAN MATEO,CA,94403,693669,(650) 222-3687,General,,,,Zohaib Tariq
C C ELECTRIC,2673 KENDRICK CIR,SAN JOSE,CA,95121,1082966,(408) 921-4453,Electrical,,,,Zohaib Tariq
C C I CONSTRUCTION INC,210 SAN JOSE AVENUE #C,SAN JOSE,CA,95125,940574,(888) 510-1331,General,https://cciconstructionsj.com/,bayareawindowsales@gmail.com,,Zohaib Tariq
C D ALL ROOFING,2909 WILBUR AVENUE,SAN JOSE,CA,95127,1003820,(408) 898-6605,Roofing,,,,Zohaib Tariq
C D PAINTING,3989 STARVIEW DRIVE APT 4,SAN JOSE,CA,95124,702534,(408) 324-4247,Painting,,,,Zohaib Tariq
C D R REMODELING,P O BOX 326,SAN MATEO,CA,94401,723844,(650) 222-5345,General,,,,Zohaib Tariq
C F C,1703 WILLOWHURST,SAN JOSE,CA,95125,433696,(408) 724-0461,General,,,,Zohaib Tariq
C F TREE SERVICES,310 NORTH 17TH STREET,SAN JOSE,CA,95112,1095173,(408) 614-8344,Tree,,,,Zohaib Tariq
C G CONCRETE,158 EAST HUMBOLDT STREET,SAN JOSE,CA,95112,1008773,(408) 499-4467,Concrete,,,,Zohaib Tariq
C G HARDWOOD FLOORS,1017 NORTH 12TH ST,SAN JOSE,CA,95112,1116363,(408) 649-1722,Flooring,,cgflooring12@gmail.com,https://www.facebook.com/cghardwoodfloors/,Zohaib Tariq
C H CONSTRUCTION,6549 HERCUS COURT,SAN JOSE,CA,95119,910409,(408) 438-8889,General,,,,Zohaib Tariq
C H HARDWOOD FLOORS,2597 YERBA BANK COURT,SAN JOSE,CA,95121,863091,(408) 826-1714,Flooring,https://www.chhardwoodfloors.com/,,,Zohaib Tariq
C K ELECTRIC,1953 CAMDEN AVE,SAN JOSE,CA,95124,1032585,(408) 497-0062,Electrical,,,,Zohaib Tariq
C K L CONSTRUCTION INC,941 WEST HEDDING ST STE B,SAN JOSE,CA,95126,456289,(408) 244-7042,General,https://jclconstrn.com/,carloslopezsr@jclconstrn.com,,Zohaib Tariq
C M GRANITE INC,1260 YARD COURT STE E,SAN JOSE,CA,95133,1092609,(408) 569-5166,Tile,,,,Zohaib Tariq
C N B CORPORATION,41771 HIGGINS WAY,FREMONT,CA,94539,789423,(408) 230-6337,General,,,,Zohaib Tariq
C N C COUNTERTOPS,1097 N 5TH ST,SAN JOSE,CA,95112,1121719,(650) 451-5251,Tile,https://cncstoneworks.com/,info@cncstoneworks.com,,Zohaib Tariq
C N E CONSTRUCTION INCORPORATION,4045 MORELAND WAY,SAN JOSE,CA,95130,1011892,(408) 726-2956,General,,,,Zohaib Tariq
C P PRO PAINTING INC,2505 SHILSHONE CIR,SAN JOSE,CA,95121,1080473,(408) 841-1332,Painting,,,,Zohaib Tariq
C R C GARDENING AND LANDSCAPING,4825 STEVENSON BLVD,FREMONT,CA,94063,1096173,(650) 281-3485,Landscaping,,crcgardeningandlandscaping@gmail.com,https://www.facebook.com/crcgardeningandlandscaping/,Zohaib Tariq
C R CUSTOM CARPENTRY INC,3894 CAS DRIVE,SAN JOSE,CA,95111,962570,(408) 593-5688,Rough Carpentry,,,,Zohaib Tariq
C S L CONSTRUCTION INC,42660 PHILADELPHIA PLACE,FREMONT,CA,94539,1004724,(408) 666-6847,General,,,,Zohaib Tariq
C V A BUILDERS INC,2158 CEYNOWA LN,SAN JOSE,CA,95121,1027810,(408) 649-0978,General,,,,Zohaib Tariq
C W C GENERAL CONTRACTOR,1725 NASH DRIVE,SAN MATEO,CA,94401,954653,(650) 245-8421,General,,,,Zohaib Tariq
C's ROOFING & WATERPROOFING INC,6250 SANTA TERESA BLVD APT 322,SAN JOSE,CA,95119,1057993,(408) 770-7768,Roofing,,,,Zohaib Tariq
C&C LANDSCAPING INC,181 E SANTA CLARA ST # E715,SAN JOSE,CA,95113,1087078,(818) 207-8002,Landscaping,https://candclandscapinginc.com/,candclandscapinginc@gmail.com,,Zohaib Tariq
CA ELECTRICAL GROUP 24/7,780 MONTAGUE SUITE 203,SAN JOSE,CA,95131,1035160,(669) 260-0712,Electrical,https://caelectricalgroup.com/,info@caelectricalgroup.com,https://www.facebook.com/ca.electricalgroup24.7,Zohaib Tariq
CA PAINTING CORP,1617 ALUMROCK AVE SUITE G,SAN JOSE,CA,95116,906524,(408) 593-3364,Painting,,,,Zohaib Tariq
CABALLERO PAINTING INC,2625 SKYLARK DRIVE,SAN JOSE,CA,95125,1113424,(619) 717-9479,Painting,,,,Zohaib Tariq
CABALLERO's CONSTRUCTION,2725 FLORENCE AVE,SAN JOSE,CA,95127,984387,(408) 394-0023,General,,,,Zohaib Tariq
CABANEX FLOORS INC,404 QUEENS LANE,SAN JOSE,CA,95112,1126700,(408) 451-9780,Flooring,,Cabanexfloors@gmail.com,https://www.facebook.com/cabanexfloors/,Zohaib Tariq
CABINET & STONE EXPO INC,1815 JUNCTION AVENUE,SAN JOSE,CA,95131,980995,(510) 589-2018,General,https://www.cabinet-stones.com/,info@cabinet-stones.com,,Zohaib Tariq
CABRAL CONTRACTORS GROUP INC,104 NORTH BASCOM AVE,SAN JOSE,CA,95128,1129693,(408) 813-8415,General,,,,Zohaib Tariq
CABRAL R CONTRACTOR INC,104 N BASCOM AVE,SAN JOSE,CA,95128,928954,(408) 210-8553,General,https://www.rcabralcontractor.com/,rolando@rcabralcontractor.com,,Zohaib Tariq
