Crunchbase link,Business Name,Website,Contact Form Link,Email,Phone,Address,City,State,Country,Business Type,Brief Description,,Notes,Worker
,POPPY AMERICA,http://www.poppyamerica.com/,https://poppyamerica.com/contact/,info@poppyquiltnsew.com,855 214 6444,"8500 W Sunset Blvd, West Hollywood, CA 90069, USA",West Hollywood,California,United States,apparel & fashion,"Reflecting an American luxury ideal through a distinctively 90s lens. Poppy America plays into notions of creative passion, art and goodwill. We focus our design principles on cross seasonality, timelessness, gender fluidity, ethical fabrics, and non standard shapes within our garments.",,,Shahwaiz Farooq
,Boring Mattress,http://www.boring.co/,https://www.boring.co/pages/contact,hello@boring.co,(602) 500-4888,"3030 E Coronado St, Anaheim, CA 92806, USA",Anaheim,California,United States,Retail,"We're not reinventing the mattress – we're just taking the complications out of it. We believe that a good mattress is all about simplicity, comfort, and affordability. No gimmicks, no nonsense, just a great product that you can count on.",,,Shahwaiz Farooq
,Jhooms,http://www.jhooms.com/,https://jhooms.com/pages/contact,yesenia@jhooms.com,,"Los Angeles , CA US",Los Angeles,California,United States,apparel & fashion,"Jhooms is a luxury sneaker brand that merges high-quality leather craftsmanship with culturally inspired designs. Founded by Yesenia, a Mexican American from California who relocated to Pakistan, the brand draws inspiration from diverse global cultures to create unique, meaningful footwear. The name ""Jhooms"" is derived from the Urdu word 'jhoom,' meaning to transcend into a greater realm of self-discovery. Each pair of sneakers is handcrafted using top-grain leather, ensuring durability and uniqueness. Jhooms operates on an invitation-only basis, encouraging individuals to share their stories to receive a personal code for ordering. This approach fosters a community of creatives who value self-expression and cultural appreciation.",,,Shahwaiz Farooq
,Opus Footwear,http://www.opusfootwear.com/,https://opusfootwear.com/pages/contact,mirko@opusfootwear.com,760-450-8540,"7668 El Camino Real, 104-172 Carlsbad, CA 92009",Carlsbad,California,United States,apparel & fashion,"Opus Footwear is a brand that emphasizes the value of hard work and community engagement. The name ""Opus,"" meaning ""work"" in Latin, reflects the brand's philosophy of dedicating effort to personal growth, community involvement, and mutual support. Founded by Mirko Mangum, Opus collaborates with friends and partners to create durable, affordable skate shoes that perform well both on and off the board. The team includes co-founder and experienced footwear designer Dennys Han, who has contributed significantly to the brand's shoe designs.",,,Shahwaiz Farooq
,courier,http://www.couriersocks.com/,https://couriersocks.com/pages/contact,hello@couriercc.com,,"30251 Golden Lantern Ste E #371
Laguna Niguel, CA 92677",Laguna Niguel,California,United States,apparel & fashion,"Courier is a brand dedicated to creating sensation-driven performance socks tailored for multi-passionate athletes, particularly those who both run and ride. Their products are designed to support individuals through various activities, ensuring comfort and performance.",,,Shahwaiz Farooq
,TENŌRE,http://www.xn--tenre-i9a.com/,https://tenore.com/pages/contact,Wholesale@tenore.com,,"946 W 17th St, Costa Mesa, CA, United States, California",Costa Mesa,California,United States,apparel & fashion,"TENŌRE is a lifestyle brand dedicated to creating timeless apparel that transcends passing trends. The brand emphasizes form, function, and sustainability in its design process, fabric selection, and choice of manufacturing partners. TENŌRE believes that design and material quality should outlast messaging and marketing, standing firmly behind this vision.",,,Shahwaiz Farooq
,Malibu Ski League,http://www.malibuskileague.com/,https://malibuskileague.com/pages/contact,shredteam@malibuskileague.com,(424) 235-7742,"Los Angeles, California US",Los Angeles,California,United States,apparel & fashion,"Malibu Ski League is a lifestyle brand that seamlessly blends the passions of skiing and surfing, catering to individuals who cherish both winter and summer adventures. Their apparel collection emphasizes style and functionality, offering high-performance designs suitable for both the slopes and the shore. The brand's philosophy, ""Always Winter Forever Summer,"" reflects a commitment to those who find joy in both the ocean and the snow.",,,Shahwaiz Farooq
,Seat Hoodie,http://www.seathoodie.us/,https://www.seathoodie.us/pages/contact?_pos=1&_sid=d6bd49f92&_ss=r,info@seathoodie.us,(214) 710-2565,"Newport Beach, CA 92660 USA",Newport Beach,California,United States,apparel & fashion,"Seat Hoodie offers high-quality microfiber car seat covers designed to protect your vehicle's seats from sweat, sand, and other elements associated with an active lifestyle. These covers are ideal for activities such as gym sessions, Pilates, or beach outings. They are easy to install, washable, and designed to fit all car models.",,,Shahwaiz Farooq
,Chillshark,http://www.chillshark.com/,https://chillshark.com/,info@chillshark.com,(512) 820-9023,"8391 Beverly Blvd, Los Angeles, CA 90048, USA",Los Angeles,California,United States,retail,"Chillshark Inc. is an innovative company that has developed the first luxury in-home cold plunge system designed to convert any bathtub into a rejuvenating cold therapy experience. Their system works by pumping water into an elegant chiller, circulating it through advanced cooling technology, and dispensing the chilled water back into your tub.",,,Shahwaiz Farooq
,Claudent,http://www.claudent.com/,https://claudent.com/pages/contact,info@claudent.com,,"319 McCadden Pl, Los Angeles, CA 90020, USA",Los Angeles,California,United States,apparel & fashion,"Claudent is a women's apparel brand built for and around the sun. Utilizing the most premium UPF-rated fabrics, Claudent pieces allow the wearer to indulge themselves outside, free of worry about the negative impacts of UV exposure. Claudent's protection is liberation.",,,Shahwaiz Farooq
,Eladay,https://www.eladay.com/,https://www.eladay.com/pages/contact-us,partnerships@eladay.com,,"Los Angeles, California US",Los Angeles,California,United States,apparel & fashion,"At Eladay, we embrace life's unpredictability with versatile clothing that adapts seamlessly to your journey.We celebrate authenticity—whether you're in stilettos at the supermarket or rocking sweatpants at the office. With Eladay, style reflects your unique path, empowering you to embrace every moment, big or small, planned or spontaneous.",,,Shahwaiz Farooq
,Bearefoot Shoes,https://bearefoot.com/,https://bearefoot.com/pages/contact-us,support@bearefoot.com,(302) 286-9598,"Riverside, California, CA 92507, US",Riverside,California,United States,retail,Bearefoot Shoes redefine how your feet fit into shoes. Most shoes aren't properly designed for your feet & cause a plethora of lasting problems. Restore order in your foundation for a healthier lifestyle with Bearefoot Shoes.,,,Shahwaiz Farooq
,Rudes Denim,https://rudesdenim.com/,https://rudesdenim.com/pages/contact,info@rudesdenim.com,213-466-2882,"Los Angeles , California 90023, US",Los Angeles,California,United States,apparel & fashion,"Rüdes Denim, LLC is a fashion brand specializing in high-quality denim apparel. Their collections feature a variety of styles, including straight leg, barrel, jumpsuit, flare, skinny, boyfriend, skirts, wide leg, boot cut, sweatpants, tops, and cargos. They also offer different rises such as high rise, mid rise, and low rise. The brand emphasizes sophistication and style in its designs",,,Shahwaiz Farooq
,Virtue,https://virtue.love/,https://virtue.love/pages/contact,info@virtue.love,3103507181,"15927 Distribution Way, Cerritos, California 90703, US",Los Angeles,California,United States,apparel & fashion,"Virtue offers inclusive genderless clothing, undergarments, accessories, and jewelry products and specializes in sustainable knitwear products. Our products are produced in Istanbul, Milan, and Beverly Hills.",,,Shahwaiz Farooq
,NeoTrek Footwear,https://neotrekfootwear.com/,https://neotrekfootwear.com/pages/contact,shop@neotrekfootwear.com,855-696-8735,"Irvine, CA US",Irvine,California,United States,apparel & fashion,"NeoTrek Footwear is a pioneering company dedicated to providing comfortable and custom footwear solutions for individuals with partial-foot amputations and other foot differences. Their mission centers on the concept of ""foot equity,"" ensuring that everyone has access to footwear that accommodates their unique physical needs.",,,Shahwaiz Farooq
,Simple Golf Shop,https://simplegolfshop.com/,https://simplegolfshop.com/pages/contact,info@simplegolfshop.com,(714) 343-7110,"PO Box 832 Huntington Beach, CA 92648",Huntington Beach,California,United States,apparel & fashion,"Simple Golf Shop, the ultimate destination for golfers looking for quality equipment and accessories at affordable prices. We believe that golf should be accessible to everyone, regardless of skill level or budget, and that's why we've made it our mission to provide golfers with practical and easy-to-use products that help them improve their game and enjoy their time on the course. Whether you're a seasoned pro or a beginner just starting out, you'll find everything you need to enhance your golfing experience at the Simple Golf Shop. Shop with us today and discover why we're the preferred choice of golfers everywhere.",,,Shahwaiz Farooq
,California Kids Collection,https://californiakidscollection.com/,https://californiakidscollection.com/,letsgo@californiakidscollection.com,(650) 637-9054,"VENTURA, CA 93003, US",VENTURA,California,United States,apparel & fashion,"We're an Eco-Adventure California Brand. We care a lot about Mother Earth and want to encourage you to get outside and enjoy all the adventures surrounding you. Whether it's finding a new trail, surfing at the beach, or nailing down a 360 — we want to give you a little extra encouragement to go PLAY! We utilize sustainable products for both our apparel and packaging to put a smaller footprint on the world.",,,Shahwaiz Farooq
,GLMR,http://www.shopglmr.com/,https://shopglmr.com/pages/contact,hey@craftpip.com,61 2 7208 9500,"San Diego, CA 92109, USA",San Diego,California,United States,apparel & fashion,"GLMR Glitter Gel is a brand specializing in glitter gel products, offering a variety of colors and themes suitable for various occasions. Their product lineup includes options like ""4/20 Glitter Gel,"" ""Golden Glitter Gel,"" ""Icy Glitter Gel,"" and more, each priced at $15.00 USD.",,,Shahwaiz Farooq
,Paulette & Maria,http://www.pauletteandmaria.com/,https://pauletteandmaria.com/pages/contact,contact@pauletteandmaria.com,,"Los Angeles,California 90023, US",Los Angeles,California,United States,apparel & fashion,"Paulette & Maria is a lingerie brand that specializes in creating cute, sexy, and comfortable underwear crafted from organic fabrics. The brand was conceived by a French visionary residing in California, aiming to fill a market void for high-quality, ethically sourced lingerie.",,,Shahwaiz Farooq
,Tita,http://www.shop-tita.com/,https://shop-tita.com/policies/contact-information,hi@shop-tita.com,,"TITA LLC, 185 Pier Ave, Suite 103, Santa Monica, CA 90405 United States",Santa Monica,California,United States,apparel & fashion,Tita offers reusable nipple covers that are made-to-be-seen. We've reimagined the traditional nude circle and created an alternative solution that is both practical and fashionable.,,,Shahwaiz Farooq
,Blissful Haven,http://www.blissfulhaven.co/,https://blissfulhaven.co/pages/contact,contact@blissfulhaven.co,619-719-5786,"Carlsbad, CA 92084, US",Carlsbad,California,United States,apparel & fashion,"Curated small, modern luxuries to elevate any home while providing tools & strategies to empower and nurture your soul",,,Shahwaiz Farooq
,Marigold Group,http://www.marigold.rent/,https://regent-row.com/pages/contact,hello@regent-row.com,5626650610,"Los Angeles, CA 90004, US",Los Angeles,California,United States,apparel & fashion,"Marigold Group LLC operates an online platform, Marigold, specializing in the rental of Indian designer clothing and accessories across the United States. Their extensive collection includes lehengas, sarees, shararas, and Indo-Western outfits, catering to various events such as weddings, haldi, mehendi, sangeet, and other special occasions.",,,Shahwaiz Farooq
,Tussle,http://www.tusslegear.com/,https://www.tusslegear.com/pages/contact,whatsup@tusslegear.com,,"SANTA MONCIA, CA 90404, US",SANTA MONCIA,California,United States,apparel & fashion,"Tussle is a woman-owned and operated company based in the USA, specializing in fight gear and apparel designed specifically for women. Founded by boxing and fitness expert Cary Williams, Tussle is the only woman-owned U.S. company focusing exclusively on female boxing gear and equipment.",,,Shahwaiz Farooq
,Purrberry,http://www.purrberry.co/,https://purrberry.co/pages/contact,info@purrberry.co,604-302-7373,"Los Angeles, California 90013, US",Los Angeles,California,United States,apparel & fashion,"Purrberry is a premium pet fashion brand, dedicated to bring both style and comfort for your pups and cats. We provide a sublime shopping experience with our ability to customize clothing for your pets while you stay at home, eliminating once and for all the trouble of buying clothes that your pets don’ ... see more",,,Shahwaiz Farooq
,ellimac,https://www.ellimacdesign.com/,https://www.ellimacdesign.com/pages/about-us,info@ellimacdesign.com,,"Albany, CA 94706 USA",Albany,California,United States,apparel & fashion,"Ellimac is a contemporary accessories and apparel brand that emphasizes optimistic and sustainable design. Established in January 2024 and based in California, the company focuses on creating high-quality products using vibrant colors, uplifting textures, and eco-friendly practices.",,,Shahwaiz Farooq
,Flower Girl Apparel,http://www.flowergirl.co/,https://flowergirl.co/pages/contact,hello@flowergirl.co,021 187 6072,"Los Angeles, CA 90292, US",Los Angeles,California,United States,apparel & fashion,"Flower Girl is a sustainable apparel brand specializing in eco-friendly, non-toxic period underwear and related products. Based in Los Angeles, the company is dedicated to providing comfortable and safe menstrual solutions for individuals seeking alternatives to traditional disposable products.",,,Shahwaiz Farooq
,Duster,http://www.shopduster.com/,https://shopduster.com/pages/contact,customerservice@shopduster.com,,"Los Angeles,California,USA",Los Angeles,California,United States,Retail Apparel and Fashion,"Duster is a Los Angeles-based brand that reimagines the traditional house dress for the modern woman. Their collection features chic, crisp, and tailored dresses that maintain a loose-fitting comfort, each equipped with pockets for practicality.",,,Shahwaiz Farooq
,Exray,http://www.exray.cc/,https://exray.cc/pages/contact,help@wearexray.com,,"Vista, CA 92081, US",Vista,California,United States,Retail Apparel and Fashion,"Exray is an American-made activewear brand that specializes in performance apparel designed for military personnel, first responders, and elite fitness institutions. Founded by a Marine combat veteran, the company emphasizes quality, durability, and functionality in its products.",,,Shahwaiz Farooq
,Güerito Customs,http://www.gueritocustoms.com/,https://gueritocustoms.com/policies/contact-information,elguero@pincheguerocustoms.com,,"41 Astrida Dr, Hayward, CA 94544, USA",Hayward,California,United States,Retail Apparel and Fashion,"Güerito Customs was founded to empower people of our diverse backgrounds, the No Sabo Kids, and all those who appreciate La Raza y la cultura. We are on a mission to celebrate our heritage, express our individuality, and honor our roots through fashion. We believe that what we wear is a reflection of our identity and culture and that it can be a powerful way to convey our pride and sense of belonging.Our mission is to provide our customers with clothing and accessories that are not only fashionable, but also made to last. We believe that every person should be able to express their individuality through the clothes they wear, and we're here to help you do just that.",,,Shahwaiz Farooq
,KRBN,http://www.krbn.com/,https://www.krbn.com/pages/contact,returns@krbn.com,,"Highway 101, Encinitas, CA, United States, California",Encinitas,California,United States,Retail Apparel and Fashion,"KRBN (pronounced ""carbon"") is a brand dedicated to providing high-quality, minimalist essentials designed for everyday life. The company focuses on simplicity and functionality, aiming to offer versatile products that enhance daily experiences.",,,Shahwaiz Farooq
,Coastal Supplements,http://www.shopcoastalsupplements.com/,https://shopcoastalsupplements.com/contact-us/,contact@shopcoastalsupplements.com,7144852185,"5642 E La Palma Ave, Anaheim, CA 92807, USA",Anaheim,California,United States,Retail Apparel and Fashion,"Coastal Supplements is a health and wellness brand offering a diverse range of nutritional products aimed at supporting various aspects of well-being. Their product lineup includes vitamins, minerals, CBD products, and other supplements designed to cater to different health needs.",,,Shahwaiz Farooq
,@Once Coffee,http://www.atoncecoffee.com/,https://atoncecoffee.com/collections/all,drinkatoncecoffee@gmail.com,,"Newport Beach, California US",Newport Beach,California,United States,Retail Apparel and Fashion,"@Once Coffee is an instant coffee startup dedicated to elevating the coffee experience through quality and convenience. Their proprietary tubes dispense coffee instantly, allowing consumers to enjoy high-quality cold brew coffee in seconds, anywhere and anytime.",,,Shahwaiz Farooq
,HOUSE OF SHOKUNIN,http://www.houseofshokunin.com/,https://houseofshokunin.com/crystal-glow-candles/,info@houseofshokunin.com,,"5965 Village Way STE E105 , San Diego, CA 92130, US",San Diego,California,United States,Retail Apparel and Fashion,"House of Shokunin is an online community dedicated to the artistry of fine Japanese craftsmanship. Founded by an art enthusiast with deep roots in Japan, House of Shokunin seeks to revive the essence of precision, delicacy, and attention to detail that define true Japanese artisans –",,,Shahwaiz Farooq
,Social Studies Shop,http://www.socialstudiesshop.com/,https://socialstudiesshop.com/pages/contact-us,hello@socialstudiesshop.com,,"Berkeley, California, United States",Berkeley,California,United States,Retail Apparel and Fashion,"SOCIAL STUDIES IS A HIGHLY CURATED, MULTI-BRAND COLLECTION REDEFINING THE FASHION ECOSYSTEM AND TRANSFORMING CONSUMER BEHAVIOR.",,,Farhan
,Candified .,http://www.itscandified.com,https://itscandified.com/contact-us/,hello@itscandified.com,(562) 588-9008,"5334 2nd Street Belmont Shore, CA 90803",Belmont Shore,California,United States,Retail,"Our story begins with a pure, simple love for all things candy: we firmly believe in the power of sweet stuff to unlock our purest joy and fuel boundless imagination. Picture a 6 year-old girl eating Gummy Bears for breakfast, dreaming up wild ideas for sharing her big joy with the world. That’s our Candy Queen, Jackie Sorkin, and that’s the spark that would grow into our beloved Candified. (Kids have the best ideas!) After building a magical and creative career in candy artistry, Jackie joined forces with branding and marketing maven “Amazing Amy” Kavanaugh Mason to bring Candified to life.",,,Farhan
,Achilles Ion Gabriel,http://www.aig-limited.com/,https://aig-limited.com/contact,sales@aig-limited.com,,"Los Angeles, California , United States",Los Angeles,California,United States,apparel & fashion,"Founded in the summer of 2023, Achilles Ion Gabriel is the namesake brand of Creative director achilles ion Gabriel. Achilles Ion Gabriel is a Finnish-born designer. He studied footwear design in Finland before launching his namesake shoe label in 2012 in Paris. He was appointed creative director of Camperlab in June 2019 and camper in august 2020 and was awarded designer of the year at the 2022 Premios icon ceremony by Icon el Pais in Madrid. He was also named president of the jury for accessories at the 2024 Hyeres festival. Achilles Ion Gabriel was invited to show his debut collection of genderless ready to wear, footwear, leather goods and accessories in Florence as Pitti Uomo debut collection special guest on January 11th, 2024. The brand is only available on its own website and at a select number of prestigious global fashion retailers. Achilles Ion Gabriel works from Mallorca and Paris.",,,Farhan
,Abbreviated,http://www.abbreviated.shop/,,info@abbreviated.shop,,"San Francisco, CA, United States",San Francisco,California,United States,apparel & fashion,"Abbreviated was founded by Mike Monnette in San Francisco, California in 2023. Before launching Abbreviated, Mike spent a decade running menswear departments for some of the biggest clothing brands in the world, watching first hand as these companies tailored their Medium size product to fit a 6’ tall “fit model”. Knowing the average height for men in the U.S. is 5’9”, this always felt ridiculous to Mike",,,Farhan
,The Mobile Barkery,http://www.themobilebarkery.com/,https://themobilebarkery.com/contact-us/,spaws@themobilebarkery.com,,"Main St, Huntington Beach, California 92648, US",Huntington Beach,California,United States,Retail,"Welcome to The Mobile Barkery, your one-stop destination for delicious and wholesome treats for your furry friends! Based in the sunny coastal city of Huntington Beach, our dog treat food truck business proudly serves all over Orange County and Los Angeles, bringing tail-wagging joy to pups and their owners. At The Mobile Barkery, we are passionate about providing top-notch treats that not only taste great but also cater to the diverse dietary needs of our four-legged customers. Our extensive menu features a variety of gluten-free cookies, treats, yogurts, dry meat treats, and chews, all crafted with love and care. Whether your pup has specific dietary requirements or simply enjoys indulging in scrumptious delights, we have something for every canine taste",,,Farhan
,Osami,http://www.osamiofficial.com/,https://osamiofficial.com/pages/contact,support@osamiofficial.com,,"Los Angeles, CA US",Los Angeles,California,United States,apparel & fashion,"Osami is a boutique fashion house crafted for the contemporary man, a space where self-expression flourishes and the traditional boundaries of menswear are gracefully extended. Founded by Osama Shahid, an American-born Pakistani designer with a global upbringing, Osami stands as a testament to a unique blend of cultural threads and a deep passion for fashion that transcends conventional norms. At Osami, self-expression is celebrated through a catalogue that merges modern flair with subtle inspirations from women's fashion, redefining the masculine narrative. Our collections, tailored for the ever-fluid modern lifestyle, offer versatility and effortlessly transition from day to night, embodying the dynamic spirit of our clientele. We pride ourselves on being more than just a men's fashion house; we are a community where fashion is seen as a universal language, encouraging every individual to find their unique voice. Osami is about nurturing experimentation, promoting confident expression, and committing to craftsmanship with a keen eye on sustainability. Our limited production runs ensure exclusivity and quality, reflecting our dedication to creating pieces that tell a story of longevity, refined taste, and a signature vibe. Accessibility to luxury is a cornerstone of Osami. Born from the real-world challenge of finding true quality at attainable price points, we strive to bring our signature style within reach of a broader audience. We are built on honesty and remain receptive to the evolving needs of our community. Osami is not just a collection of garments; it's a curated experience of limited pieces that invites you to confidently express your individuality, regardless of others' opinions. This ethos is rooted in our journey and desire to challenge industry norms, and makes Osami a manifestation of a unique vision where global influences are interwoven into each design, offering a modern, chic, and confident approach to menswear.",,,Farhan
,IN/ONE,http://www.inonestyle.com/,https://inonestyle.com/pages/contact,inquires@inonestyle.com,1 310-849-7572,"1735 S. Santa Fe Avenue, Los Angeles, CA, United States",Los Angeles,California,United States,apparel & fashion,"IN/ONE is a ready-to-wear collection that aims to transcend traditional sportswear by embracing style and versatility for the active and fashion-forward woman. Women founded and led, we set out to solve the challenges women face when dressing throughout the day. The result is a collection of bold essentials crafted from quality fabrics designed for easy care and long wear. We are a team of innovative fashion minds. Everything we do, we do with purpose, passion, and integrity; to create high-quality products with a low impact on our planet. Our collections, designed through the lens of founder and Creative Director Ilana Kugel, feature tailored silhouettes made from a diverse range of custom-sourced materials and innovative fabrics. We combine style and functionality for an active lifestyle, reimagining traditional sportswear and catering to women who demand both fashion and versatility. At IN/ONE, we are committed to sustainability, ethical manufacturing, and empowering women. Our approach to fashion is rooted in quality, innovation, and community-building. We strive to create clothing that is not only stylish and functional but also environmentally responsible and socially conscious. Join us in our mission to empower women who demand both style and substance, as we work towards a more beautiful and sustainable world.",,,Farhan
,K AS IN KITCHEN,http://www.yesitskaik.com/,https://yesitskaik.com/,hi@yesitskaik.com,,"San Francisco, California 95377, US",San Francisco,California,United States,Retail,K AS IN KITCHEN (KAIK) is your trusted kitchenware brand that demystifies the kitchen through stylish essentials created to elevate confidence and expand everyone in the kitchen and beyond.,,,Farhan
,Swirlo Golf,http://www.swirlo.com/,https://swirlo.com/pages/contact,sales@swirlo.com,805-729-2766,"1180 Beasley Way Sonoma, CA 95476",Sonoma,California,United States,apparel & fashion,"At Swirlo, we understand the love affair between golf and style. The company was founded by Jay Tierney in Sonoma, CA - father of three children and a life-long golf enthusiast. Jay's passion for golf ranges from playing competitively in his early days to just playing as much as possible with his kids or friends and having a good time.",,,Farhan
,Ann-Viraa Fashion,http://www.ann-viraa.com/,https://www.ann-viraa.com/policies/contact-information,info@ann-viraa.comor,1 289-659-1474,"Hamilton, Ontario L8V 4T8, CA",Hamilton City,California,United States,apparel & fashion,"Our mission is to provide a wide selection of trendy and fashionable accessories at affordable prices. We believe that accessorizing is an art form that allows you to express your personality and individuality. That's why we offer a variety of products, including jewelry, handbags, hats, caps, tuques, and watches, that are designed to make you feel confident and stylish every day.",,,Farhan
,ZIPPERLY,http://www.zipperly.com/,https://zipperly.com/pages/contact,hello@zipperly.com,,"SAN FRANCISCO, CA 94104, US",San Francisco,California,United States,apparel & fashion,Handbags made in Italy. Jewelry made in Brazil.,,,Farhan
,Eager Eagle,http://www.eagereaglegolf.com/,https://eagereaglegolf.com/policies/contact-information,info@eagereaglegolf.com,,San Diego,San Diego,California,United States,Retail,Eager Eagle hats are designed for those who don't want to be a walking sponsorship. For those who want a hat that looks good on and off the course. For those who don't want to break the bank on a hat.,,,Farhan
,Nonbeta Co,http://www.nonbeta.co/,https://nonbeta.co/pages/contact,nonbetagang@gmail.com,,"Los Angeles, California, US",Los Angeles,California,United States,apparel & fashion,"Streetwear & Sportswear brand based in Los Angeles, California. Founded by Designer & Youtuber Jon Phenom.",,,Farhan
,Care Tucker,http://www.caretucker.com/,https://caretucker.com/pages/contact,support@caretucker.com,661-200-3220,"24264 Main St, Santa Clarita, California 91321, US",Los Angeles,California,United States,apparel & fashion,"CARE TUCKER is a brand focused on designing and producing beautiful products that last. There is a heartbeat to the brand, an authenticity that is inspired and derived from the creator Carolyn Tucker (aka. Care). Born and raised in Los Angeles, Ca she gives nod to the versatile, eclectic style of her upbringing. Her closet is filled with rich color and unique patterns which is carried through out the line. Her base for every piece is functionality and versatility, wanting every woman that wears CARE to feel confident, comfortable and prepared for the event or everyday life that they are experiencing in the moment. After many years of buying, merchandising and even being a co-founder of a successful brand that she unfortunately had to give up, Care felt it was her turn to be behind the creation of her own label. All the years of grinding, the highs, the lows and all the woes brought her to this chapter. Initially thinking of a lot of cool and unique fashion inspired names nothing felt quite right to encapsulate her and her vision for the brand, until Care Tucker was placed on her heart. Short for Carolyn it is an endearing nick name given to her throughout her life by friends and family. It also embodies the brands desire to care for others and the care for the products they make and how they make them.",,,Farhan
,Surf Skull,http://www.thesurfskull.com/,https://thesurfskull.com/pages/contact,thesurfskull@gmail.com,,"Santa Cruz, CA 95060, US",Santa Cruz,California,United States,apparel & fashion,"Let's face it, line ups can be a little judgmental. That's why we've designed a bump cap that looks like a normal hat instead of a bulky helmet. With it's sleek, low-profile design, you can hit the waves in style without sacrificing safety. Designed to stay on your head in even the heaviest pounding waves, but with the casual safety-conscious surfer in mind. With a layer of hard plastic and shock absorbing EVA, you can rest assured that your head is protected from flying fins, and late drops.",,,Farhan
,Oliezi Outdoors,http://www.oliezi.com,https://oliezi.com/pages/contact,contact@triangledigital.xyz,,"9045 Eton Ave, Suite B Canoga Park, CA 91304 USA",Canoga Par,California,United States,Retail,"We are redefining family camping with our line of four-season tents, designed for year-round comfort and adventure. Our pioneering use of Terylene cotton, known for its durability and insulation properties, ensures that each tent stands up to varied climates while offering a cozy retreat. Coupled with our AirPole technology for effortless setup, Oliezi tents are also wood stove compatible, making them the ultimate choice for families seeking a warm and luxurious outdoor experience. Connect with us on LinkedIn for insights into cozy camping innovation and sustainable design.",,,Farhan
,IVI LOS ANGELES,http://www.ivilosangeles.com/,https://ivilosangeles.com/,customercare@ivilosangeles.com,,"Los Angeles, California 90036, US",Los Angeles,California,United States,apparel & fashion,"Founded in Los Angeles, IVI is carving out its own space in the world of jewelry by combining fine Italian craftsmanship with a contemporary mindset to create accessible, precious pieces that can be worn daily and last a lifetime.",,,Farhan
,LightingBug Tech,http://www.lightingbugtech.com,https://lightingbugtech.com/pages/contact,support@lightingbugtech.com,(520) 535-5535,"Santa Clara, CA 95054, US",Santa Clara,California,United States,Retail,"We are a company specializing in Tesla car interior ambient lighting. Our brand features the latest Tesla ambient lighting on the market, providing high-quality lighting products and professional services to Tesla car owners.",,,Farhan
,Jotasana Designs,http://www.jotasanadesigns.com/,https://jotasanadesigns.com/pages/contact,info@jotasana.com,,"11836 Donner Pass Rd, Truckee, CA 96161, USA",Truckee,California,United States,retail,"Artistically designed leather journals & planners. A beautiful gift for yoga teachers, yoga retreats, studios, YTT, and yoga lovers. Customizable and refillable for meditation, mindfulness, and yoga classes. Woman and Latinx owned business",,,Abdullah
,THE GRANDSTAND PROJECT,http://www.thegrandstandproject.com/,https://thegrandstandproject.com/policies/contact-information,contact@thegrandstandproject.com,,Los Angeles California USA,Los Angeles,California,United States,apparel & fashion,"THE GRANDSTAND PROJECT aims to supplement the lack of F1 merchandise catered towards women. All pieces are handmade in Los Angeles and 3% of all sales are donated to support women in motorsport via OUR REAL PROJECT. DISCLAIMER: THE GRANDSTAND PROJECT is UNOFFICIAL and is NOT ASSOCIATED in any way with the Formula 1 companies, nor any Formula 1 associated racing teams or drivers. F1, FORMULA ONE, FORMULA 1, FIA FORMULA ONE WORLD CHAMPIONSHIP, GRAND PRIX and related marks are trademarks of Formula One Licensing B.V.",,,Abdullah
,Gobez,http://www.shopgobez.com/,https://www.shopgobez.com/pages/contact,saron@shopgobez.com,,"2566 Zoe Ave, Huntington Park, CA 90255, USA",Huntington Park,California,United States,apparel & fashion,"Gobez is an Oakland-based women's workwear brand with a mission to create clothes that honor hourglass and pear-shaped silhouettes. All Gobez apparel is designed with 3 principles in mind: comfort, versatility, and a polished finish",,,Abdullah
,RAPHAELLA,http://www.raphaella.us/,https://raphaella.us/pages/contact,contact@raphaella.us,909.278.6206,"824 S Broadway, Los Angeles, CA 90014, USA",Los Angeles,California,United States,apparel & fashion,Empowering women through sustainable luxury fashion crafted in downtown Los Angeles. Proud Latina- female owned company,,,Abdullah
,Live The Gnar,http://www.livethegnar.com/,https://livethegnar.com/policies/contact-information,thedudes@livethegnar.com,760-696-3419,"1012 South Coast Highway, Unit B1, Oceanside CA 92054, United States",Oceanside,California,United States,retail,"Moto Shop 📍Oceanside, CA 🇺🇸 Shipping Nationwide",,,Abdullah
,COZYHUMAN,http://www.cozyhuman.co/,https://cozyhuman.co/pages/contact,thibault@cozyhuman.co,,Los Angeles California USA,Los Angeles,California,United States,apparel & fashion,Heavy Cotton Tees - Made in USA,,,Abdullah
